20
36 311
40 7 418
7 45 458
51 7 604
8 9 65
8 11 725
8 15 155
25 8 696
8 27 86
8 44 228
46 8 964
9 15 506
26 9 748
9 27 367
50 9 741
11 10 780
10 12 384
14 10 717
15 10 798
19 10 918
10 20 442
10 21 100
24 10 727
25 10 867
32 10 869
38 10 268
11 15 808
11 18 498
19 11 978
11 24 437
11 28 331
11 35 926
37 11 22
39 11 852
43 11 261
47 11 238
11 51 783
12 13 826
12 19 153
12 20 542
12 23 811
12 29 653
12 32 5
43 12 956
45 12 201
48 12 141
51 12 970
16 13 244
13 17 326
13 21 792
25 13 264
27 13 996
34 13 665
38 13 615
40 13 368
13 42 296
13 45 103
13 48 566
14 15 968
19 14 256
24 14 184
14 28 96
51 14 139
15 17 101
20 15 992
15 29 705
15 32 150
36 15 512
38 15 743
41 15 450
46 15 772
47 15 291
15 50 249
21 16 233
35 16 739
36 16 357
16 37 935
39 16 886
17 19 84
21 17 754
22 17 100
24 17 31
33 17 191
17 34 457
44 17 985
45 17 53
17 48 621
31 18 573
18 39 834
18 42 540
18 44 821
18 49 413
26 19 615
29 19 367
19 30 680
19 34 812
19 36 435
19 40 714
19 43 892
19 49 625
21 20 136
22 20 110
20 24 172
28 20 79
20 34 449
43 20 184
20 44 414
20 46 622
21 22 86
21 25 826
21 29 492
34 21 464
21 42 700
24 22 897
22 25 844
26 22 926
33 22 251
34 22 582
41 22 72
43 22 329
50 22 766
23 24 829
23 25 111
30 23 841
35 23 599
23 36 361
23 41 18
47 23 97
48 23 536
24 31 997
24 32 407
38 24 393
24 43 234
47 24 396
49 24 898
28 25 962
34 25 538
35 25 643
25 41 431
50 25 278
34 26 639
37 26 34
48 26 913
27 33 142
36 27 502
30 28 166
31 28 334
28 32 641
39 28 462
42 28 754
46 28 688
28 47 276
49 28 524
29 32 993
33 29 358
29 39 260
29 43 80
29 44 878
29 47 65
32 30 686
36 30 862
39 30 60
30 44 768
30 48 712
50 30 694
31 34 822
31 37 108
31 40 613
31 42 796
31 43 288
44 31 805
31 45 237
47 31 497
38 32 964
32 39 755
44 32 170
47 32 496
32 49 71
32 51 621
39 33 228
41 33 698
33 44 505
37 34 54
38 34 510
39 34 275
41 34 673
35 36 75
38 35 7
35 40 618
43 35 566
35 44 190
35 45 154
36 38 61
39 36 558
36 43 894
36 45 934
46 36 323
36 49 979
37 43 580
51 37 319
43 38 888
44 38 257
47 38 936
38 48 491
51 38 180
42 39 458
50 39 506
40 43 318
45 40 292
40 47 155
41 50 818
46 42 694
50 42 959
43 44 620
43 51 904
44 47 48
49 44 643
50 44 659
51 45 548
48 46 33
46 49 694
50 47 921
48 49 536
48 50 694
48 51 469
49 50 228
51 50 553
7
43 46 46 13 13 34 25
35 387
3 1 627
1 4 3
1 5 27
1 7 358
9 1 282
10 1 169
13 1 116
1 14 690
1 17 453
20 1 427
21 1 914
1 24 195
1 26 419
30 1 630
32 1 707
1 33 535
2 5 851
2 6 653
2 7 652
2 8 859
2 9 3
2 12 981
14 2 730
2 15 552
16 2 53
18 2 697
2 19 571
2 21 233
2 22 854
2 25 335
2 27 899
2 30 78
2 31 557
33 2 520
2 34 711
35 2 244
3 4 866
5 3 716
3 6 454
3 7 2
3 8 148
9 3 892
3 11 619
3 12 269
3 13 505
14 3 622
3 17 653
3 18 93
22 3 227
23 3 485
24 3 439
3 25 534
26 3 205
3 28 350
3 29 936
30 3 792
3 34 514
3 35 205
5 4 316
4 7 136
4 8 926
4 10 397
13 4 25
14 4 453
15 4 539
16 4 587
17 4 419
4 18 907
19 4 21
4 21 252
22 4 712
4 24 219
4 26 734
27 4 58
4 28 340
4 29 513
4 30 100
4 31 260
33 4 263
34 4 108
4 35 142
7 5 331
8 5 354
9 5 778
5 10 586
5 11 485
15 5 670
5 16 890
5 17 362
18 5 733
5 19 653
20 5 320
23 5 818
24 5 737
25 5 894
26 5 324
5 28 723
5 29 843
5 31 301
5 35 875
7 6 908
6 8 505
9 6 49
6 11 957
13 6 916
14 6 510
15 6 173
6 16 93
17 6 841
6 18 518
6 20 871
6 21 677
6 22 708
24 6 253
6 25 204
26 6 239
6 27 266
28 6 769
29 6 746
31 6 117
33 6 189
34 6 59
35 6 869
7 8 913
9 7 897
11 7 986
7 13 266
14 7 749
7 15 487
7 18 313
19 7 359
7 20 989
7 22 374
24 7 356
7 25 705
26 7 912
27 7 709
7 28 750
7 29 596
7 32 404
33 7 754
34 7 454
7 35 735
9 8 742
8 11 958
8 12 701
8 13 950
8 15 253
8 16 982
17 8 274
8 19 62
21 8 665
22 8 507
23 8 342
8 26 868
8 27 964
8 28 147
29 8 393
8 30 54
31 8 96
8 32 519
34 8 331
9 11 744
9 13 8
9 14 347
15 9 763
9 16 537
9 17 469
9 18 817
19 9 596
9 20 243
9 21 611
9 22 781
24 9 507
9 29 655
9 30 97
10 11 306
10 12 738
14 10 398
15 10 5
10 16 156
10 17 920
10 18 969
22 10 38
23 10 909
24 10 127
26 10 706
10 30 368
10 35 401
11 12 892
11 14 553
11 16 115
11 17 425
18 11 923
11 22 456
11 23 308
11 24 139
25 11 840
11 26 551
27 11 91
11 28 24
30 11 15
32 11 825
33 11 571
11 34 949
11 35 805
12 13 117
12 15 990
12 16 482
17 12 45
18 12 278
19 12 294
12 20 758
21 12 12
12 23 131
24 12 660
12 25 906
12 26 37
27 12 56
29 12 869
30 12 641
35 12 965
13 15 139
13 16 944
20 13 127
22 13 960
13 23 880
13 25 114
27 13 215
28 13 83
29 13 141
13 30 626
34 13 34
14 15 360
16 14 206
14 20 989
21 14 663
14 22 21
23 14 459
14 24 443
25 14 670
14 26 684
27 14 629
14 30 536
31 14 676
32 14 701
33 14 365
14 34 108
15 16 858
15 21 384
23 15 205
15 24 668
25 15 469
27 15 12
29 15 108
30 15 334
31 15 232
32 15 698
15 33 782
34 15 569
15 35 117
16 18 370
21 16 10
16 22 307
23 16 864
16 24 365
25 16 867
16 26 720
27 16 717
16 29 978
30 16 400
16 31 938
32 16 132
16 35 873
18 17 948
17 19 300
17 20 180
17 21 291
17 22 102
17 23 501
24 17 509
25 17 560
26 17 593
17 28 507
17 29 333
30 17 815
17 32 605
33 17 190
18 22 196
18 23 10
18 25 316
18 26 129
28 18 544
18 29 895
18 30 319
31 18 748
34 18 217
18 35 616
19 20 903
21 19 701
22 19 518
23 19 652
19 24 276
19 25 34
19 26 750
28 19 372
29 19 505
19 30 768
31 19 392
19 32 238
33 19 158
34 19 648
19 35 452
20 23 109
20 25 740
26 20 284
27 20 135
20 28 8
29 20 157
20 30 262
20 31 859
20 32 151
33 20 482
22 21 938
21 23 341
25 21 305
26 21 538
28 21 415
29 21 645
21 30 312
21 31 562
32 21 786
33 21 90
34 21 99
35 21 807
23 22 675
22 24 555
26 22 931
22 28 798
29 22 742
22 30 47
22 31 543
22 35 965
23 28 971
23 32 198
23 33 424
34 23 319
24 25 278
28 24 789
24 29 837
24 30 676
24 32 920
33 24 910
35 24 993
26 25 662
28 25 756
29 25 669
30 25 328
31 25 61
25 34 155
25 35 317
31 26 574
32 26 708
34 26 681
26 35 609
27 34 295
35 27 330
29 28 190
30 28 195
31 28 312
32 28 634
34 28 405
28 35 801
30 29 661
33 29 339
29 34 512
35 29 107
31 30 816
30 32 617
33 30 154
30 34 430
30 35 473
31 33 690
32 33 451
34 33 956
35 33 792
35 34 394
34
23 9 16 16 25 10 10 8 28 29 11 2 7 10 5 33 10 31 33 5 16 28 15 2 22 15 14 7 7 8 3 30 3 6
67 363
2 1 448
1 3 142
10 1 600
1 11 678
14 1 200
1 15 963
17 1 103
1 19 527
25 1 124
28 1 103
32 1 599
40 1 526
1 48 293
1 54 183
1 58 314
1 62 626
65 1 67
24 2 358
30 2 906
31 2 953
32 2 701
50 2 812
56 2 416
39 3 43
50 3 210
3 58 203
66 3 422
4 9 644
16 4 476
4 31 353
4 32 503
34 4 613
4 36 687
4 40 657
4 44 794
13 5 444
26 5 414
27 5 354
32 5 811
50 5 656
59 5 7
6 8 806
15 6 657
6 19 373
21 6 626
23 6 820
28 6 577
6 36 982
42 6 70
6 45 886
47 6 49
6 54 966
55 6 156
57 6 228
7 23 142
7 30 382
7 59 345
9 8 695
10 8 655
8 26 658
8 27 321
8 30 239
32 8 271
8 36 28
40 8 655
55 8 302
8 56 55
59 8 592
8 63 725
12 9 178
9 16 562
19 9 30
21 9 810
36 9 63
9 37 368
9 38 699
47 9 47
48 9 211
9 53 459
62 9 72
10 18 633
20 10 568
10 25 797
10 29 649
10 50 139
51 10 126
59 10 896
11 18 431
21 11 665
31 11 46
11 33 276
11 34 487
41 11 582
11 42 207
50 11 76
54 11 921
56 11 110
58 11 453
11 60 553
16 12 258
12 22 861
42 12 93
45 12 958
46 12 907
12 52 390
18 13 115
13 21 763
13 24 807
13 25 844
13 41 108
44 13 890
13 51 944
13 53 709
13 55 436
13 63 741
64 13 331
13 67 34
14 24 50
14 34 702
39 14 103
41 14 449
14 50 150
56 14 973
14 59 394
67 14 507
26 15 434
40 15 37
42 15 533
15 49 966
15 53 334
57 15 71
15 66 35
67 15 92
20 16 602
16 23 910
25 16 389
16 26 218
16 27 977
34 16 954
37 16 81
40 16 154
44 16 112
48 16 181
60 16 335
16 66 633
27 17 907
17 28 857
32 17 794
17 44 842
17 50 1000
52 17 968
26 18 693
18 27 361
30 18 290
39 18 282
18 42 188
18 44 657
53 18 711
59 18 891
19 25 22
19 30 214
19 31 786
49 19 10
19 50 594
52 19 844
53 19 130
55 19 555
59 19 199
19 60 918
19 61 889
66 19 437
20 43 58
62 20 32
21 22 206
21 27 261
21 34 59
36 21 358
39 21 12
43 21 737
45 21 672
49 21 410
21 63 288
22 26 950
27 22 881
22 29 217
32 22 55
22 50 427
22 51 827
22 54 279
22 58 214
64 22 988
23 34 398
51 23 231
24 35 32
44 24 152
46 24 759
54 24 460
24 59 179
63 24 803
64 24 974
66 24 963
25 33 171
34 25 861
25 41 656
25 62 846
65 25 526
26 31 904
26 38 318
40 26 682
41 26 934
45 26 126
26 60 677
27 31 738
27 33 147
41 27 57
51 27 732
62 27 914
28 31 494
33 28 713
28 37 193
28 39 933
43 28 271
28 50 602
28 54 52
28 55 543
62 28 680
35 29 667
50 29 970
29 53 364
58 29 407
63 29 24
31 30 668
37 30 207
30 40 224
30 41 489
30 42 645
30 43 884
30 54 289
30 58 40
33 31 927
39 31 327
42 31 940
31 44 847
31 47 975
53 31 210
31 65 120
66 31 312
67 31 621
32 34 499
32 35 200
32 36 59
44 32 477
60 32 331
32 63 291
32 66 548
67 32 992
33 34 296
37 33 722
46 33 338
49 33 284
33 53 596
33 59 85
63 33 897
65 33 919
34 40 124
34 47 671
49 34 665
34 54 944
60 34 818
62 34 397
40 35 749
35 45 855
51 35 860
54 35 211
63 35 876
50 36 280
36 51 59
36 52 207
36 62 819
63 36 148
36 66 636
37 48 220
49 37 73
55 37 791
42 38 106
45 38 600
38 54 98
57 38 379
59 38 714
66 38 231
41 39 565
39 45 372
50 39 349
56 39 102
57 39 254
39 63 682
66 39 570
40 55 912
40 57 653
40 62 554
40 66 401
41 45 68
52 41 421
44 42 685
54 42 233
43 44 781
45 43 574
43 48 991
43 51 667
43 60 489
50 44 139
53 44 689
55 44 373
57 44 914
58 44 908
45 52 328
45 53 665
45 61 840
66 45 605
45 67 684
46 53 475
53 47 198
58 47 901
61 47 58
47 65 198
49 48 496
48 50 312
48 55 826
56 48 15
48 63 35
50 49 102
53 49 161
49 54 304
49 57 669
63 49 370
50 52 849
50 56 15
50 57 297
50 60 147
50 65 588
55 52 37
52 62 660
52 63 910
67 52 309
53 66 143
59 54 27
64 54 403
66 54 199
61 55 640
57 56 107
59 56 804
60 57 603
57 61 573
64 58 231
65 58 745
58 67 550
59 61 31
63 59 157
64 59 670
65 59 841
61 65 853
62 65 745
65 64 507
29
48 21 59 3 38 59 60 57 26 55 38 10 54 36 52 47 13 20 47 29 59 3 53 32 49 47 26 61 17
97 2890
2 1 280
3 1 844
1 4 778
6 1 418
1 7 238
8 1 641
1 9 710
1 10 541
11 1 148
1 14 578
16 1 109
18 1 384
1 19 200
21 1 791
22 1 795
1 31 861
1 33 344
34 1 150
35 1 572
1 36 451
1 39 833
40 1 70
1 41 812
42 1 453
1 46 633
1 47 965
1 51 309
53 1 640
54 1 317
1 57 874
58 1 669
1 59 161
63 1 276
1 64 643
65 1 118
67 1 237
68 1 33
71 1 209
72 1 708
73 1 255
74 1 45
1 75 967
1 79 234
80 1 269
81 1 579
83 1 558
1 84 950
1 85 907
1 87 402
1 88 588
89 1 280
1 92 831
93 1 550
94 1 905
95 1 502
96 1 371
97 1 744
2 4 745
5 2 275
6 2 183
2 8 881
2 9 436
11 2 580
2 12 996
2 13 115
14 2 737
15 2 978
16 2 770
17 2 465
18 2 494
2 20 211
2 21 635
2 23 921
24 2 642
25 2 40
2 26 933
29 2 489
31 2 588
32 2 184
2 33 660
2 35 407
2 36 329
2 38 276
40 2 157
41 2 224
44 2 338
46 2 297
2 48 212
49 2 370
50 2 99
52 2 585
2 53 248
54 2 962
2 57 421
2 59 66
61 2 842
63 2 871
65 2 701
67 2 990
69 2 577
2 71 36
73 2 587
75 2 441
77 2 521
79 2 946
2 80 275
2 81 950
82 2 263
2 84 996
85 2 832
86 2 51
2 88 590
90 2 625
2 91 140
2 92 848
93 2 182
94 2 782
96 2 417
2 97 844
5 3 775
6 3 105
7 3 659
10 3 624
3 12 219
13 3 815
3 14 276
15 3 641
18 3 593
3 21 463
22 3 263
3 23 330
26 3 603
3 27 868
29 3 29
30 3 80
3 31 137
32 3 135
3 33 691
3 35 541
3 36 763
38 3 547
39 3 929
3 40 558
3 41 483
3 42 935
3 45 173
46 3 365
47 3 272
3 49 304
50 3 878
51 3 479
3 52 941
54 3 924
55 3 906
56 3 622
57 3 256
3 59 848
3 61 297
62 3 968
63 3 763
64 3 963
3 65 767
3 66 95
3 68 870
3 70 929
3 71 445
3 76 351
80 3 860
3 82 657
83 3 561
3 86 236
87 3 625
88 3 742
3 89 602
91 3 793
3 92 810
95 3 66
3 96 964
3 97 113
5 4 181
4 6 950
8 4 770
10 4 154
4 11 277
13 4 420
16 4 471
17 4 197
21 4 975
22 4 86
4 23 396
4 24 864
4 25 712
27 4 828
29 4 941
32 4 996
4 33 861
34 4 105
36 4 612
38 4 399
4 40 912
41 4 62
42 4 709
4 43 75
49 4 818
4 50 798
4 51 952
52 4 765
4 55 892
4 57 664
58 4 666
4 60 766
63 4 740
64 4 265
4 67 60
4 68 206
4 69 431
4 72 800
73 4 370
74 4 116
75 4 73
76 4 399
4 78 869
80 4 991
4 81 718
82 4 360
4 86 362
4 89 897
4 90 829
91 4 598
4 92 921
4 93 751
4 94 367
4 95 984
4 96 575
4 97 786
9 5 533
5 10 10
11 5 237
5 12 792
5 13 663
5 17 995
5 18 814
20 5 844
5 21 470
5 22 176
5 24 564
5 26 585
27 5 435
29 5 191
5 31 468
34 5 995
5 35 397
5 36 813
37 5 397
5 38 631
5 40 143
41 5 17
5 43 525
5 44 742
45 5 719
5 47 63
5 48 381
49 5 14
51 5 985
53 5 206
54 5 216
5 55 641
56 5 274
5 57 362
5 58 23
5 60 884
61 5 445
62 5 170
64 5 560
5 65 481
66 5 738
5 67 227
5 69 251
5 73 326
5 74 473
5 75 572
76 5 11
77 5 299
5 82 411
5 84 736
5 85 275
87 5 447
5 89 498
90 5 335
91 5 239
92 5 860
93 5 860
95 5 700
96 5 382
5 97 487
7 6 836
6 9 664
11 6 303
6 12 65
13 6 697
14 6 918
6 22 337
6 23 129
27 6 173
6 29 686
6 31 673
32 6 967
34 6 527
37 6 115
6 38 703
43 6 682
6 44 578
47 6 996
6 50 865
6 52 947
6 53 428
6 55 190
56 6 184
6 57 488
6 58 447
59 6 768
6 60 230
61 6 498
6 62 891
6 63 398
64 6 934
66 6 543
70 6 914
71 6 375
73 6 428
6 74 401
6 75 307
77 6 895
78 6 280
81 6 765
82 6 936
6 83 189
6 85 839
6 86 437
6 88 208
6 90 614
6 91 586
92 6 918
6 94 165
96 6 209
97 6 46
8 7 635
10 7 679
7 12 281
7 13 882
15 7 184
16 7 199
18 7 158
19 7 612
20 7 216
22 7 141
23 7 892
24 7 196
7 27 176
7 30 58
7 32 506
33 7 263
35 7 305
36 7 527
7 37 892
7 39 806
40 7 650
7 41 668
42 7 177
43 7 60
44 7 947
7 45 762
46 7 422
7 50 20
7 54 291
7 55 266
56 7 570
7 57 416
7 58 515
59 7 244
7 60 336
7 61 587
7 62 817
7 63 417
64 7 656
7 69 344
7 70 494
71 7 784
7 72 534
7 73 408
7 76 529
7 77 29
7 78 73
81 7 865
82 7 354
7 83 861
85 7 821
86 7 554
7 88 255
7 90 691
91 7 529
7 92 255
7 94 634
95 7 559
7 97 82
8 12 435
14 8 832
8 15 530
16 8 287
17 8 993
18 8 588
8 20 819
8 21 691
22 8 826
8 24 50
25 8 613
8 28 102
29 8 770
8 30 661
8 31 614
33 8 60
8 34 731
35 8 130
8 37 129
39 8 12
8 41 673
8 42 970
43 8 965
44 8 818
8 47 244
51 8 436
53 8 941
8 55 742
8 56 193
58 8 785
8 59 350
60 8 523
8 61 417
63 8 262
66 8 523
67 8 952
8 70 872
73 8 701
8 74 20
8 75 906
8 77 511
78 8 932
8 80 147
8 81 185
8 82 851
85 8 428
8 86 342
8 87 591
90 8 172
8 91 587
94 8 352
95 8 108
8 96 511
97 8 963
10 9 112
9 11 796
9 12 748
13 9 433
16 9 504
18 9 462
22 9 792
23 9 768
9 24 503
9 25 519
26 9 165
9 27 147
9 28 895
9 32 310
9 34 837
9 35 854
9 36 776
9 39 854
9 42 939
44 9 125
9 46 531
47 9 207
48 9 930
9 49 659
52 9 224
9 53 861
9 55 123
9 56 197
59 9 73
61 9 992
9 63 51
66 9 756
67 9 189
9 69 354
9 70 787
9 72 335
75 9 318
80 9 419
82 9 590
9 84 407
85 9 2
87 9 536
89 9 263
90 9 441
91 9 446
9 93 184
94 9 985
95 9 431
96 9 934
97 9 326
11 10 556
13 10 679
10 16 662
10 17 626
20 10 967
10 21 531
10 23 741
10 25 992
10 26 592
28 10 567
10 30 981
10 31 216
32 10 118
10 33 926
34 10 236
10 36 940
37 10 232
10 38 149
10 40 701
41 10 493
46 10 739
47 10 70
50 10 216
52 10 581
53 10 143
10 55 711
10 56 822
10 58 550
61 10 562
62 10 433
63 10 726
65 10 426
66 10 124
10 69 489
10 71 283
10 72 746
10 73 74
75 10 674
10 76 148
10 78 720
79 10 972
81 10 457
10 82 218
10 83 948
84 10 151
10 86 896
87 10 909
88 10 386
90 10 803
10 91 195
10 92 360
94 10 946
10 95 237
11 13 46
14 11 128
11 15 119
11 16 158
19 11 141
11 20 825
21 11 769
22 11 970
11 23 707
24 11 697
26 11 715
27 11 91
11 28 140
11 29 291
31 11 21
32 11 980
33 11 34
11 34 157
11 35 395
36 11 38
11 37 780
11 38 706
11 39 204
11 41 438
11 42 474
11 43 945
44 11 677
11 45 604
11 46 714
11 47 844
48 11 428
11 49 542
51 11 470
11 52 874
11 53 925
11 54 507
55 11 836
11 56 102
58 11 47
11 59 689
11 60 253
11 61 846
65 11 832
11 67 751
11 68 758
11 69 428
70 11 989
11 71 491
72 11 938
11 74 560
75 11 755
79 11 182
80 11 526
81 11 356
83 11 153
11 84 187
86 11 84
87 11 767
11 90 108
11 91 892
94 11 329
96 11 91
11 97 897
13 12 653
12 14 398
12 15 671
12 18 694
20 12 238
21 12 979
12 22 221
12 23 746
12 24 349
12 26 455
12 28 485
30 12 265
12 31 250
32 12 161
12 34 824
35 12 873
39 12 105
12 41 867
12 43 302
45 12 919
12 46 644
47 12 841
48 12 856
50 12 346
12 51 455
52 12 302
12 53 647
55 12 895
12 56 770
12 57 744
60 12 956
12 61 772
12 65 722
68 12 967
12 69 421
71 12 205
72 12 88
73 12 906
12 74 62
76 12 73
77 12 968
12 81 546
82 12 78
83 12 422
84 12 419
12 86 12
12 87 758
12 90 977
92 12 398
12 93 147
95 12 405
96 12 391
12 97 585
16 13 716
18 13 47
13 19 416
20 13 912
21 13 553
22 13 473
23 13 638
28 13 958
13 30 351
13 31 607
13 35 778
13 37 285
13 38 464
13 39 574
40 13 151
42 13 871
43 13 801
44 13 426
45 13 389
13 46 873
13 47 908
49 13 705
50 13 95
13 51 402
13 52 592
13 59 590
13 61 990
62 13 96
63 13 492
65 13 583
13 66 756
68 13 11
71 13 832
72 13 456
13 73 145
13 74 153
78 13 644
79 13 286
13 80 18
84 13 328
13 85 86
86 13 132
88 13 797
89 13 263
13 90 25
13 91 265
92 13 310
13 93 557
13 94 233
95 13 496
13 96 669
13 97 616
14 16 775
17 14 599
21 14 157
22 14 264
14 23 331
24 14 601
28 14 982
14 29 545
14 30 765
31 14 860
14 32 517
14 33 317
34 14 643
36 14 387
14 37 471
39 14 847
40 14 767
42 14 205
14 43 633
44 14 601
46 14 574
14 47 468
48 14 859
49 14 423
50 14 938
52 14 247
53 14 145
14 58 193
59 14 920
61 14 536
14 63 737
66 14 525
14 67 531
14 69 71
14 71 631
72 14 915
14 73 511
14 75 381
14 76 875
14 77 704
14 78 911
14 80 946
83 14 794
14 86 276
14 89 831
95 14 832
96 14 177
14 97 820
15 16 963
18 15 38
15 19 934
20 15 648
15 21 54
23 15 166
15 25 311
26 15 685
15 28 339
15 29 886
30 15 664
15 32 748
15 33 664
15 34 731
15 36 337
15 37 385
15 40 406
15 41 353
15 43 157
44 15 421
45 15 563
46 15 748
15 50 277
52 15 685
55 15 24
15 56 867
15 57 555
61 15 513
15 62 387
63 15 632
64 15 895
15 67 974
68 15 190
69 15 905
71 15 750
72 15 189
76 15 382
15 79 698
15 80 182
15 82 49
83 15 517
15 84 400
15 86 563
90 15 805
92 15 185
15 94 343
96 15 61
97 15 59
18 16 786
16 20 758
16 21 992
16 22 926
23 16 768
24 16 526
25 16 338
26 16 681
27 16 818
28 16 566
30 16 920
32 16 805
16 33 688
35 16 778
36 16 410
37 16 903
40 16 722
16 42 847
43 16 530
16 44 96
16 45 263
46 16 616
16 48 586
16 49 204
16 50 143
51 16 925
52 16 387
54 16 796
55 16 281
56 16 790
57 16 118
16 58 795
59 16 670
60 16 748
16 62 310
63 16 724
64 16 556
16 65 761
16 66 132
67 16 803
68 16 388
16 70 604
72 16 626
73 16 543
16 74 29
16 75 878
76 16 425
16 78 279
16 79 518
81 16 751
16 83 643
84 16 858
16 85 320
16 87 625
89 16 17
90 16 917
92 16 202
93 16 443
94 16 831
16 95 73
96 16 674
17 18 640
17 20 635
17 22 458
24 17 907
27 17 941
17 28 369
31 17 265
32 17 441
17 33 815
36 17 114
17 37 11
17 39 679
17 40 387
41 17 792
17 42 968
17 43 250
17 44 388
46 17 420
17 47 924
17 48 387
17 52 889
54 17 1000
55 17 810
17 58 25
17 60 44
17 61 126
17 62 340
17 63 132
17 65 324
66 17 671
68 17 68
69 17 699
17 70 771
71 17 52
17 72 63
17 73 495
17 74 265
17 76 809
77 17 844
81 17 622
17 82 967
17 83 588
17 84 649
17 85 553
88 17 245
17 90 923
