MDC(1510,4077) = 151
MDC(2670,1813) = 1
MDC(3132,689) = 1
MDC(2963,3831) = 1
MDC(3294,1370) = 2
MDC(152,3744) = 8
MDC(383,4452) = 1
MDC(3460,4137) = 1
MDC(1349,2280) = 19
MDC(3993,3430) = 1
MDC(3895,964) = 1
MDC(840,518) = 14
MDC(2846,667) = 1
MDC(2930,3267) = 1
MDC(3416,1087) = 1
MDC(3235,2799) = 1
MDC(3395,1290) = 5
MDC(2359,2523) = 1
MDC(4421,4460) = 1
MDC(3841,2725) = 1
MDC(799,2918) = 1
MDC(665,4632) = 1
MDC(694,2092) = 2
MDC(4045,1292) = 1
MDC(2002,4953) = 13
MDC(2265,3185) = 5
MDC(232,2245) = 1
MDC(1208,4631) = 1
MDC(4894,3813) = 1
MDC(2487,3771) = 3
MDC(242,4699) = 1
MDC(3972,3748) = 4
MDC(1983,4927) = 1
MDC(1576,2563) = 1
MDC(3179,2436) = 1
MDC(4922,513) = 1
MDC(3489,2148) = 3
MDC(2097,2888) = 1
MDC(4311,4405) = 1
MDC(2174,199) = 1
MDC(3340,1988) = 4
MDC(2010,173) = 1
MDC(3630,3644) = 2
MDC(847,2260) = 1
MDC(614,4928) = 2
MDC(1820,4297) = 1
MDC(3676,3027) = 1
MDC(3865,1460) = 5
MDC(1523,1970) = 1
MDC(3800,4214) = 2
MDC(562,3472) = 2
MDC(1279,1775) = 1
MDC(1710,577) = 1
MDC(3296,630) = 2
MDC(844,3806) = 2
MDC(4378,3657) = 1
MDC(4454,141) = 1
MDC(2260,1442) = 2
MDC(2114,2513) = 7
MDC(3404,1947) = 1
MDC(4845,2518) = 1
MDC(995,1326) = 1
MDC(1475,1567) = 1
MDC(1981,557) = 1
MDC(1205,2227) = 1
MDC(2324,1630) = 2
MDC(4010,51) = 1
MDC(3155,2388) = 1
MDC(380,3140) = 20
MDC(179,3803) = 1
MDC(4693,2858) = 1
MDC(4434,3106) = 2
MDC(1871,3841) = 1
MDC(4495,463) = 1
MDC(4496,1940) = 4
MDC(135,232) = 1
MDC(1205,2228) = 1
MDC(410,2627) = 1
MDC(893,4010) = 1
MDC(643,3359) = 1
MDC(1791,678) = 3
MDC(2349,1235) = 1
MDC(2714,4724) = 2
MDC(3741,223) = 1
MDC(3436,2818) = 2
MDC(3365,1077) = 1
MDC(4388,872) = 4
MDC(4212,2645) = 1
MDC(4152,489) = 3
MDC(4156,584) = 4
MDC(2179,1729) = 1
MDC(1355,2013) = 1
MDC(3421,1501) = 1
MDC(245,4951) = 1
MDC(4403,85) = 17
MDC(878,1960) = 2
MDC(1893,232) = 1
MDC(995,2885) = 5
MDC(1570,4306) = 2
MDC(3185,408) = 1
MDC(123,2801) = 1
MDC(2931,4030) = 1
MDC(2000,4353) = 1
MDC(2245,616) = 1
MDC(4704,4016) = 16
MDC(2507,2830) = 1
MDC(3203,3596) = 1
MDC(4611,3275) = 1
MDC(290,3945) = 5
MDC(1899,2033) = 1
MDC(2187,3137) = 1
MDC(2905,3561) = 1
MDC(2557,2525) = 1
MDC(1514,3846) = 2
MDC(1136,707) = 1
MDC(2726,4596) = 2
MDC(3093,3504) = 3
MDC(1940,1570) = 10
MDC(357,1037) = 17
MDC(2548,1948) = 4
MDC(224,2178) = 2
MDC(1828,2708) = 4
MDC(632,4353) = 1
MDC(2938,1931) = 1
MDC(4322,2018) = 2
MDC(1561,3151) = 1
MDC(2294,3917) = 1
MDC(2713,2646) = 1
MDC(3645,962) = 1
MDC(3321,565) = 1
MDC(2961,4244) = 1
MDC(712,2630) = 2
MDC(1166,4203) = 1
MDC(2537,560) = 1
MDC(2686,3649) = 1
MDC(2303,1412) = 1
MDC(3693,1557) = 3
MDC(379,4199) = 1
MDC(1396,4507) = 1
MDC(304,2730) = 2
MDC(1194,1284) = 6
MDC(995,4312) = 1
MDC(2107,3300) = 1
MDC(1947,4253) = 1
MDC(1257,1349) = 1
MDC(2518,4130) = 2
MDC(3798,2165) = 1
MDC(1124,695) = 1
MDC(30,2414) = 2
MDC(3819,1704) = 3
MDC(761,2502) = 1
MDC(3997,1042) = 1
MDC(4651,408) = 1
MDC(3429,3992) = 1
MDC(1193,3234) = 1
MDC(213,1511) = 1
MDC(2553,2583) = 3
MDC(3632,2880) = 16
MDC(1842,3702) = 6
MDC(2557,1430) = 1
MDC(4781,3763) = 1
MDC(1198,825) = 1
MDC(4860,2712) = 12
MDC(1198,2022) = 2
MDC(320,2641) = 1
MDC(750,4446) = 6
MDC(3911,3107) = 1
MDC(1878,416) = 2
MDC(4717,2287) = 1
MDC(2039,2114) = 1
MDC(596,2621) = 1
MDC(3005,3962) = 1
MDC(1885,2337) = 1
MDC(3874,3180) = 2
MDC(2048,2643) = 1
MDC(4737,2330) = 1
MDC(4113,4003) = 1
MDC(3881,2370) = 1
MDC(2928,354) = 6
MDC(4589,3476) = 1
MDC(2658,1114) = 2
MDC(1382,787) = 1
MDC(4685,572) = 1
MDC(1672,132) = 44
MDC(1061,3579) = 1
MDC(1446,2831) = 1
MDC(2175,961) = 1
MDC(1945,3205) = 5
MDC(3734,2360) = 2
MDC(2686,1486) = 2
MDC(4067,913) = 83
MDC(4353,4274) = 1
MDC(2562,169) = 1
MDC(794,158) = 2
MDC(1378,2423) = 1
MDC(1994,3491) = 1
MDC(179,2443) = 1
MDC(1595,526) = 1
MDC(2597,1158) = 1
MDC(1584,1881) = 99
MDC(2553,2757) = 3
MDC(3830,1851) = 1
MDC(4128,1574) = 2
MDC(24,624) = 24
MDC(137,1666) = 1
MDC(663,3913) = 13
MDC(1901,1325) = 1
MDC(4121,223) = 1
MDC(2719,4322) = 1
MDC(3913,4458) = 1
MDC(780,3565) = 5
MDC(687,1036) = 1
MDC(2949,1992) = 3
MDC(2920,2854) = 2
MDC(1714,1346) = 2
MDC(1665,4708) = 1
MDC(208,1999) = 1
MDC(3775,3885) = 5
MDC(4425,1333) = 1
MDC(4562,2862) = 2
MDC(3265,157) = 1
MDC(4712,2283) = 1
MDC(4746,3969) = 21
MDC(2737,3779) = 1
MDC(3021,668) = 1
MDC(4374,1977) = 3
MDC(64,3975) = 1
MDC(1583,2931) = 1
MDC(33,3111) = 3
MDC(4298,4729) = 1
MDC(827,2339) = 1
MDC(3803,602) = 1
MDC(761,3226) = 1
MDC(2810,2162) = 2
MDC(101,2458) = 1
MDC(2191,2194) = 1
MDC(4561,3502) = 1
MDC(558,1008) = 18
MDC(4439,4875) = 1
MDC(567,3084) = 3
MDC(2582,4727) = 1
MDC(1437,3824) = 1
MDC(990,1816) = 2
MDC(2981,309) = 1
MDC(2155,1481) = 1
MDC(2481,4247) = 1
MDC(1424,2870) = 2
MDC(313,2178) = 1
MDC(3664,2774) = 2
MDC(172,1935) = 43
MDC(3676,2770) = 2
MDC(55,2647) = 1
MDC(3250,435) = 5
MDC(4321,2529) = 1
MDC(4053,4740) = 3
MDC(4345,3846) = 1
MDC(2072,1439) = 1
MDC(434,224) = 14
MDC(4543,2686) = 1
MDC(4374,4456) = 2
MDC(1559,3112) = 1
MDC(3302,3877) = 1
MDC(2513,3863) = 1
MDC(559,497) = 1
MDC(1037,1015) = 1
MDC(3243,3000) = 3
MDC(1373,2721) = 1
MDC(4368,1024) = 16
MDC(4015,4658) = 1
MDC(3123,4780) = 1
MDC(1599,3938) = 1
MDC(835,1965) = 5
MDC(3498,1914) = 66
MDC(2094,1914) = 6
MDC(4441,1995) = 1
MDC(210,904) = 2
MDC(4645,2524) = 1
MDC(553,4611) = 1
MDC(266,1343) = 1
MDC(3570,304) = 2
MDC(4126,2162) = 2
MDC(3261,219) = 3
MDC(3356,2936) = 4
MDC(4299,3369) = 3
MDC(2286,2249) = 1
MDC(2731,601) = 1
MDC(424,2018) = 2
MDC(727,585) = 1
MDC(1266,1145) = 1
MDC(2456,4994) = 2
MDC(3722,4111) = 1
MDC(1056,4447) = 1
MDC(635,2401) = 1
MDC(2361,3032) = 1
MDC(1583,4502) = 1
MDC(1299,362) = 1
MDC(3220,2860) = 20
MDC(3516,865) = 1
MDC(3137,4508) = 1
MDC(520,2021) = 1
MDC(4178,2023) = 1
MDC(3122,528) = 2
MDC(2120,3333) = 1
MDC(3125,2147) = 1
MDC(392,136) = 8
MDC(3222,2449) = 1
MDC(4798,3688) = 2
MDC(2391,4893) = 3
MDC(501,3993) = 3
MDC(690,570) = 30
MDC(3291,2950) = 1
MDC(1915,2183) = 1
MDC(3029,3766) = 1
MDC(1636,2536) = 4
MDC(2864,2340) = 4
MDC(4521,4585) = 1
MDC(2691,2969) = 1
MDC(1533,2435) = 1
MDC(295,3899) = 1
MDC(4352,4959) = 1
MDC(4182,1148) = 82
MDC(998,4395) = 1
MDC(4110,1097) = 1
MDC(751,1358) = 1
MDC(4858,2333) = 1
MDC(2117,1979) = 1
MDC(4476,1840) = 4
MDC(4681,3329) = 1
MDC(3332,3142) = 2
MDC(4714,3343) = 1
MDC(154,1391) = 1
MDC(2287,2550) = 1
MDC(474,2467) = 1
MDC(3851,1909) = 1
MDC(816,4570) = 2
MDC(911,4180) = 1
MDC(2750,277) = 1
MDC(1190,2722) = 2
MDC(2852,3867) = 1
MDC(2147,3642) = 1
MDC(2924,2691) = 1
MDC(3989,2338) = 1
MDC(4880,3149) = 1
MDC(240,4007) = 1
MDC(3200,3386) = 2
MDC(3178,1827) = 7
MDC(1906,2992) = 2
MDC(2308,3030) = 2
MDC(3474,4555) = 1
MDC(3641,3308) = 1
MDC(1551,263) = 1
MDC(610,4597) = 1
MDC(2511,4767) = 3
MDC(4049,477) = 1
MDC(2711,1384) = 1
MDC(3479,242) = 1
MDC(4580,218) = 2
MDC(820,1345) = 5
MDC(3674,2193) = 1
MDC(1502,2664) = 2
MDC(4710,1369) = 1
MDC(3873,2579) = 1
MDC(3932,2661) = 1
MDC(4487,1428) = 7
MDC(2639,4033) = 1
MDC(1752,2154) = 6
MDC(3603,3565) = 1
MDC(2384,3790) = 2
MDC(3996,1029) = 3
MDC(800,2415) = 5
MDC(805,4008) = 1
MDC(3206,4170) = 2
MDC(210,4908) = 6
MDC(2033,3131) = 1
MDC(2872,3548) = 4
MDC(1174,429) = 1
MDC(4086,4640) = 2
MDC(1847,2405) = 1
MDC(2466,1706) = 2
MDC(1042,3477) = 1
MDC(4641,958) = 1
MDC(3997,4497) = 1
MDC(3597,2393) = 1
MDC(2266,2192) = 2
MDC(2618,4495) = 1
MDC(640,4408) = 8
MDC(3913,2973) = 1
MDC(1927,254) = 1
MDC(1078,1958) = 22
MDC(511,1202) = 1
MDC(3490,1480) = 10
MDC(4319,727) = 1
MDC(1532,2453) = 1
MDC(1810,947) = 1
MDC(794,1550) = 2
MDC(454,3475) = 1
MDC(2767,2723) = 1
MDC(2251,3611) = 1
MDC(2888,2043) = 1
MDC(2881,1402) = 1
MDC(1782,4431) = 3
MDC(1219,3836) = 1
MDC(3917,3889) = 1
MDC(629,4765) = 1
MDC(3911,4088) = 1
MDC(2525,1455) = 5
MDC(669,1090) = 1
MDC(3696,3798) = 6
MDC(384,3687) = 3
MDC(2518,1978) = 2
MDC(860,2176) = 4
MDC(4262,581) = 1
MDC(4191,3182) = 1
MDC(4659,3289) = 1
MDC(4573,1054) = 17
MDC(4847,4421) = 1
MDC(712,641) = 1
MDC(1512,1965) = 3
MDC(3962,3446) = 2
MDC(4470,2310) = 30
MDC(3277,996) = 1
MDC(1481,912) = 1
MDC(1982,1402) = 2
MDC(1382,4454) = 2
MDC(2705,3921) = 1
MDC(1854,4930) = 2
MDC(573,2126) = 1
MDC(3232,4548) = 4
MDC(965,4907) = 1
MDC(3257,4836) = 1
MDC(3079,74) = 1
MDC(3189,2587) = 1
MDC(3747,414) = 3
MDC(2762,930) = 2
MDC(1384,2612) = 4
MDC(3816,3642) = 6
MDC(4738,4136) = 2
MDC(4441,244) = 1
MDC(792,222) = 6
MDC(3856,1817) = 1
MDC(1097,3543) = 1
MDC(4864,1255) = 1
MDC(1377,2246) = 1
MDC(788,2457) = 1
MDC(1272,4322) = 2
MDC(1255,876) = 1
MDC(3316,1462) = 2
MDC(3270,4796) = 218
MDC(257,3949) = 1
MDC(327,3330) = 3
MDC(2115,4225) = 5
MDC(4611,3764) = 1
MDC(2484,791) = 1
MDC(146,3391) = 1
MDC(3333,2816) = 11
MDC(2875,782) = 23
MDC(4472,302) = 2
MDC(3473,4994) = 1
MDC(3457,301) = 1
MDC(3628,293) = 1
MDC(4201,2760) = 1
MDC(3856,4464) = 16
MDC(999,4650) = 3
MDC(4155,4131) = 3
MDC(285,1212) = 3
MDC(3475,611) = 1
MDC(330,2147) = 1
MDC(1828,1233) = 1
MDC(3896,4310) = 2
MDC(4677,4326) = 3
MDC(4919,1068) = 1
MDC(2903,2430) = 1
MDC(1508,1381) = 1
MDC(4138,2160) = 2
MDC(773,4991) = 1
MDC(45,4017) = 3
MDC(31,4731) = 1
MDC(4637,613) = 1
MDC(1668,932) = 4
MDC(2706,2787) = 3
MDC(2206,1711) = 1
MDC(1620,1108) = 4
MDC(2485,603) = 1
MDC(3377,4433) = 11
MDC(1582,729) = 1
MDC(294,357) = 21
MDC(870,4696) = 2
MDC(859,1302) = 1
MDC(4067,862) = 1
MDC(1442,1285) = 1
MDC(3498,3319) = 1
MDC(1223,3059) = 1
MDC(1644,4716) = 12
MDC(3709,942) = 1
MDC(4593,27) = 3
MDC(1082,4369) = 1
MDC(4644,322) = 2
MDC(3888,3047) = 1
MDC(2122,2064) = 2
MDC(4336,3910) = 2
MDC(1754,1872) = 2
MDC(3127,1650) = 1
MDC(3575,1247) = 1
MDC(3350,3384) = 2
MDC(1777,3674) = 1
MDC(1182,1541) = 1
MDC(3953,761) = 1
MDC(1519,3993) = 1
MDC(2593,3418) = 1
MDC(1987,326) = 1
MDC(4458,2178) = 6
MDC(2469,1391) = 1
MDC(4499,3510) = 1
MDC(4453,3148) = 1
MDC(2197,4834) = 1
MDC(2522,3995) = 1
MDC(294,4553) = 1
MDC(4969,4766) = 1
MDC(1057,3617) = 1
MDC(1392,3795) = 3
MDC(4087,2370) = 1
MDC(4804,771) = 1
MDC(2203,1290) = 1
MDC(2293,2345) = 1
MDC(1426,295) = 1
MDC(4441,2692) = 1
MDC(125,3651) = 1
MDC(4702,197) = 1
MDC(4494,195) = 3
MDC(1553,3408) = 1
MDC(415,1527) = 1
MDC(5000,1686) = 2
MDC(3373,3587) = 1
MDC(1353,320) = 1
MDC(692,2924) = 4
MDC(4478,1728) = 2
MDC(233,3447) = 1
MDC(2620,893) = 1
MDC(882,2134) = 2
MDC(3306,700) = 2
MDC(2589,4914) = 3
MDC(183,531) = 3
MDC(1217,972) = 1
MDC(2777,3686) = 1
MDC(4287,1280) = 1
MDC(740,409) = 1
MDC(761,591) = 1
MDC(1753,1470) = 1
MDC(269,1557) = 1
MDC(2879,2361) = 1
MDC(1244,45) = 1
MDC(2695,674) = 1
MDC(2786,4576) = 2
MDC(1069,2550) = 1
MDC(1224,3866) = 2
MDC(3071,3959) = 37
MDC(3114,4076) = 2
MDC(3280,3220) = 20
MDC(286,1121) = 1
MDC(125,3195) = 5
MDC(4304,4674) = 2
MDC(373,1412) = 1
MDC(1150,1132) = 2
MDC(1018,3571) = 1
MDC(4974,3180) = 6
MDC(2363,4451) = 1
MDC(1789,2958) = 1
MDC(4398,4081) = 1
MDC(2190,4133) = 1
MDC(2064,2778) = 6
MDC(1229,452) = 1
MDC(300,3444) = 12
MDC(1465,2585) = 5
MDC(4982,2596) = 2
MDC(3654,1214) = 2
MDC(2156,159) = 1
MDC(983,2305) = 1
MDC(508,2087) = 1
MDC(3442,4636) = 2
MDC(4785,171) = 3
MDC(277,4018) = 1
MDC(607,3868) = 1
MDC(4854,1188) = 6
MDC(252,286) = 2
MDC(3533,4877) = 1
MDC(4962,1442) = 2
MDC(3833,2124) = 1
MDC(770,1782) = 22
MDC(859,1226) = 1
MDC(1976,845) = 13
MDC(81,4972) = 1
MDC(3322,411) = 1
MDC(1720,3544) = 8
MDC(654,637) = 1
MDC(2894,2915) = 1
MDC(3558,2757) = 3
MDC(242,4729) = 1
MDC(2824,1460) = 4
MDC(632,4454) = 2
MDC(473,3262) = 1
MDC(4003,2619) = 1
MDC(1508,2962) = 2
MDC(4114,2976) = 2
MDC(3662,3045) = 1
MDC(3166,198) = 2
MDC(1772,4600) = 4
MDC(3248,1709) = 1
MDC(4568,843) = 1
MDC(273,3208) = 1
MDC(4821,392) = 1
MDC(3675,4201) = 1
MDC(1485,2006) = 1
MDC(2969,2187) = 1
MDC(130,215) = 5
MDC(2831,1588) = 1
MDC(2777,3269) = 1
MDC(3362,476) = 2
MDC(3524,1831) = 1
MDC(1409,4608) = 1
MDC(1501,1066) = 1
MDC(2704,1413) = 1
MDC(4454,3381) = 1
MDC(4449,533) = 1
MDC(2858,1513) = 1
MDC(3235,2223) = 1
MDC(1633,2383) = 1
MDC(2709,612) = 9
MDC(2192,3811) = 1
MDC(4877,2724) = 1
MDC(2388,4363) = 1
MDC(1092,4782) = 6
MDC(2767,599) = 1
MDC(844,2519) = 1
MDC(3569,1702) = 1
MDC(2906,1212) = 2
MDC(3967,1124) = 1
MDC(3550,100) = 50
MDC(4740,2395) = 5
MDC(4344,2840) = 8
MDC(1254,1664) = 2
MDC(299,4518) = 1
MDC(4086,2343) = 3
MDC(3443,2633) = 1
MDC(1571,3371) = 1
MDC(4955,1958) = 1
MDC(4155,2680) = 5
MDC(1478,2821) = 1
MDC(2960,2675) = 5
MDC(1138,1800) = 2
MDC(793,3174) = 1
MDC(2740,1558) = 2
MDC(2859,3380) = 1
MDC(3243,4361) = 1
MDC(3599,2138) = 1
MDC(3968,3886) = 2
MDC(1600,4428) = 4
MDC(2454,366) = 6
MDC(1854,1458) = 18
MDC(869,4462) = 1
MDC(130,537) = 1
MDC(2198,3447) = 1
MDC(3642,1221) = 3
MDC(4578,1229) = 1
MDC(3070,4971) = 1
MDC(3006,4625) = 1
MDC(2982,1597) = 1
MDC(2749,1768) = 1
MDC(4912,828) = 4
MDC(2834,3871) = 1
MDC(2851,4615) = 1
MDC(4674,2871) = 3
MDC(4896,4662) = 18
MDC(1797,4630) = 1
MDC(1933,2442) = 1
MDC(915,2213) = 1
MDC(4572,1829) = 1
MDC(4718,2028) = 2
MDC(2069,2481) = 1
MDC(4305,4210) = 5
MDC(3630,3514) = 2
MDC(78,1981) = 1
MDC(906,3623) = 1
MDC(625,4181) = 1
MDC(2951,3113) = 1
MDC(420,4508) = 28
MDC(1921,664) = 1
MDC(4485,2349) = 3
MDC(3512,4589) = 1
MDC(4287,3407) = 1
MDC(4636,4009) = 19
MDC(3775,3501) = 1
MDC(2804,2993) = 1
MDC(508,381) = 127
MDC(3943,4484) = 1
MDC(66,2206) = 2
MDC(1514,867) = 1
MDC(2689,2368) = 1
MDC(2602,4006) = 2
MDC(4412,2097) = 1
MDC(3371,1970) = 1
MDC(3874,3990) = 2
MDC(4822,244) = 2
MDC(1250,1432) = 2
MDC(1362,1261) = 1
MDC(1728,2331) = 9
MDC(552,3471) = 3
MDC(3493,4960) = 1
MDC(1772,3298) = 2
MDC(4672,3401) = 1
MDC(1305,3758) = 1
MDC(4430,2602) = 2
MDC(2460,628) = 4
MDC(821,3591) = 1
MDC(454,2676) = 2
MDC(4801,2242) = 1
MDC(1054,3582) = 2
MDC(4500,110) = 10
MDC(1128,2340) = 12
MDC(1086,3228) = 6
MDC(3990,3064) = 2
MDC(4131,4858) = 1
MDC(3055,224) = 1
MDC(4207,3770) = 1
MDC(2953,313) = 1
MDC(2920,4283) = 1
MDC(1499,1219) = 1
MDC(3567,4812) = 3
MDC(4412,3332) = 4
MDC(2519,1547) = 1
MDC(36,286) = 2
MDC(4812,881) = 1
MDC(3241,3456) = 1
MDC(1751,725) = 1
MDC(792,3257) = 1
MDC(3355,4726) = 1
MDC(3250,4935) = 5
MDC(3781,2209) = 1
MDC(3186,1639) = 1
MDC(4375,1409) = 1
MDC(1891,290) = 1
MDC(574,4893) = 7
MDC(469,3658) = 1
MDC(4539,4458) = 3
MDC(2282,3178) = 14
MDC(1306,4286) = 2
MDC(4314,3336) = 6
MDC(4465,3420) = 95
MDC(1293,2758) = 1
MDC(4625,4183) = 1
MDC(3,4066) = 1
MDC(607,2688) = 1
MDC(2385,1943) = 1
MDC(1408,319) = 11
MDC(2221,4746) = 1
MDC(1311,3724) = 19
MDC(1918,1611) = 1
MDC(3892,4315) = 1
MDC(2118,2433) = 3
MDC(3061,958) = 1
MDC(726,392) = 2
MDC(1047,3191) = 1
MDC(1650,4024) = 2
MDC(461,2859) = 1
MDC(3262,3457) = 1
MDC(1456,3267) = 1
MDC(4756,1873) = 1
MDC(4488,163) = 1
MDC(3625,2847) = 1
MDC(1763,1920) = 1
MDC(2899,1453) = 1
MDC(2785,3021) = 1
MDC(1027,2262) = 13
MDC(1792,4595) = 1
MDC(3332,3979) = 1
MDC(4854,2540) = 2
MDC(954,444) = 6
MDC(3053,4493) = 1
MDC(1771,1804) = 11
MDC(2441,2426) = 1
MDC(499,2769) = 1
MDC(3156,2000) = 4
MDC(4403,1011) = 1
MDC(1389,2125) = 1
MDC(2305,4061) = 1
MDC(4053,601) = 1
MDC(1795,2778) = 1
MDC(2813,2540) = 1
MDC(3077,3723) = 17
MDC(2147,2301) = 1
MDC(3330,869) = 1
MDC(2346,2414) = 34
MDC(3677,3287) = 1
MDC(2239,2425) = 1
MDC(1050,3863) = 1
MDC(2303,3938) = 1
MDC(130,4435) = 5
MDC(1821,3844) = 1
MDC(1892,1644) = 4
