caso 0:
1 22
3 32
3 16
5 132
5 162
4 75
3 64
3 120
5 78
4 115
4 140
2 63
4 80
3 120
4 5
4 95
4 40
4 125
3 155
5 162
4 140
4 15
2 13
5 18
4 5
4 105
3 12
3 121
3 131
3 106
2 0
3 40
4 102
1 82
5 96
3 24
4 135
3 24
3 95
4 25
4 45
5 78
3 36
3 84
4 133
3 40
5 42
3 0
5 96
2 88
3 10
2 48
3 56
3 12
4 80
3 100
4 95
4 20
3 90
4 130
3 80
4 10
4 45
4 0
4 130
3 120
2 117
4 10
1 36
3 92
5 66
2 66
1 36
4 135
3 0
2 63
5 24
2 84
3 8
2 105
5 108
4 78
5 96
4 15
2 27
4 25
3 125
3 80
4 100
2 48
2 53
4 55
4 5
5 168
4 105
5 66
5 150
3 1
4 20
3 41
5 42
4 30
4 140
4 187
4 55
5 186
5 120
3 76
2 93
2 64
3 24
2 27
3 131
4 187
5 42
4 110
4 45
1 50
4 55
3 32
5 24
3 80
3 84
2 100
5 24
1 3
3 80
3 1
4 150
4 100
1 12
4 105
4 140
4 10
1 60
3 24
4 45
3 10
2 72
4 40
4 55
4 10
4 145
2 81
5 156
4 125
4 135
4 91
3 68
3 20
3 84
5 12
2 100
2 40
0 15
2 3
2 29
3 24
2 15
4 80
2 72
4 85
3 28
3 108
5 18
3 31
2 20
4 150
4 15
3 60
3 76
3 66
4 155
2 0
3 51
1 76
2 60
2 21
3 10
2 75
4 120
3 116
5 102
3 92
3 72
4 30
3 120
5 186
3 116
4 10
4 60
4 80
4 75
3 4
4 115
4 70
5 12
4 55
3 68
5 126
3 116
3 68
5 138
3 44
4 5
4 120
3 100
3 12
4 25
4 24
2 36
5 48
4 45
1 60
2 56
3 36
3 32
4 120
3 100
5 6
2 0
4 40
5 78
4 25
4 60
4 100
5 156
3 88
4 25
3 4
2 52
5 54
2 60
3 44
4 75
5 96
5 54
3 28
4 145
3 56
4 80
4 180
2 75
3 60
4 95
5 90
4 80
3 116
4 100
5 0
5 180
4 13
5 180
2 60
2 57
5 144
4 145
4 15
4 60
3 32
5 0
4 35
3 104
5 66
3 40
4 40
2 25
4 125
4 12
1 42
4 55
4 95
3 68
2 1
4 75
4 30
4 55
4 5
4 150
2 69
2 21
4 20
3 52
5 114
4 90
3 108
3 112
3 100
3 44
2 81
3 80
3 90
5 162
1 52
3 16
4 115
5 96
2 17
4 70
4 40
4 121
3 124
3 88
2 65
5 54
4 135
4 60
3 112
3 20
4 30
4 150
4 110
3 56
4 30
5 186
4 125
3 56
4 145
3 112
4 73
4 145
4 90
2 24
4 31
4 15
5 6
4 115
3 40
3 56

caso 2:
3 31
4 70
5 60
3 20
5 162
2 0
4 132
4 127
3 72
3 38
5 84
5 150
1 40
4 35
4 20
5 6
3 116
4 96
5 12
3 76
3 130
4 70
4 0
4 110
4 13
4 70
4 25
3 56
4 48
6 35
3 8
4 45
1 46
5 138
4 65
3 4
3 28
5 126
4 50
4 85
2 0
4 140
2 57
4 163
3 32
2 63
1 8
5 84
4 55
3 120
4 145
3 88
4 156
4 139
3 16
4 0
4 135
5 162
4 125
3 80
4 35
4 75
3 16
4 0
4 40
2 66
4 30
4 5
3 70
4 60
4 115
4 186
4 90
3 76
5 186
3 96
4 105
4 20
4 110
3 0
5 144
2 57
4 45
0 52
3 2
2 92
5 18
4 50
4 120
3 31
5 54
4 175
4 0
3 12
5 114
5 138
5 0
6 217
3 24
5 60
5 24
4 145
4 75
4 55
4 85
4 120
3 124
3 48
5 150
5 162
2 39
5 144
5 180
4 135
4 105
4 15
6 14
4 0
2 90
1 34
3 76
4 45
2 97
5 54
4 45
3 80
5 180
5 54
5 132
4 100
4 75
5 156
2 87
5 174
5 102
4 55
4 20
4 35
5 72
4 70
3 104
1 50
3 48
3 32
4 95
5 84
4 150
4 66
4 19
4 150
2 72
5 96
4 35
4 0
4 126
4 30
4 67
2 84
4 60
3 155
3 60
4 25
4 110
3 84
1 36
7 16
3 92
3 80
1 14
4 30
4 105
4 85
3 28
3 112
4 140
6 77
4 80
2 90
4 80
3 48
4 30
4 85
3 120
5 60
3 64
5 174
4 155
4 70
5 6
4 130
4 50
3 61
4 115
5 90
3 125
5 126
3 44
5 175
3 32
3 48
3 116
3 120
4 75
3 116
3 61
3 35
5 162
4 60
4 130
4 120
5 150
5 36
4 80
4 144
3 86
2 93
4 85
4 70
4 45
4 84
4 100
5 30
5 162
3 16
4 36
3 12
5 78
4 42
4 0
5 12
5 150
5 6
4 125
2 57
5 60
4 75
3 26
4 169
3 8
4 85
3 16
3 80
4 50
5 174
1 38
4 15
1 34
2 39
4 145
4 110
3 20
5 180
4 145
5 168
5 132
4 25
3 100
2 121
2 66
3 40
5 12
3 60
3 124
3 48
5 150
5 78
3 36
4 90
5 126
3 50
4 55
4 100
4 95
5 72
4 80
4 30
3 120
4 55
5 6
3 56
2 4
3 72
4 132
4 70
3 108
4 114
5 36
5 78
4 35
5 72
4 85
4 55
4 108
4 135
3 36
4 109
2 32
2 60
4 80
3 16
4 105
3 60
5 54
5 144
5 120
3 126
4 110
5 12
4 10
3 36
5 186
4 186
2 6
4 105
4 10
5 96
4 140
4 168
4 125
3 24
4 145
3 120
5 126
5 84
3 71
2 39
3 156
3 6
2 78
2 81
5 96
4 15
3 8
4 100
4 45
4 50
2 81
5 150
5 42
4 75
4 65
4 125
2 73
5 42
4 45
4 115
3 4
4 125
5 132
3 56
3 60
5 138
5 96
3 76
3 4
4 45
5 30
2 72
5 0
5 180
3 100
5 54
2 81
3 115
6 77
3 84
4 5
3 96
3 116
2 49
4 90
5 120
4 155
3 100
2 75
5 24
5 72
3 12
2 113
3 60
4 115
2 12
5 78
3 12
5 84
4 35
3 116
4 135
5 162
4 105
5 114
5 186
3 104
4 169
3 146
4 60
4 20
4 10
1 42
2 96
3 71
3 104
5 96
4 19
5 84
1 8
5 90
5 174
5 72
3 36
4 50
3 32
4 145
2 3
5 30
3 88
4 169
3 5
3 72
4 110
4 40
4 80
3 60
3 151
2 9
5 150
2 109
2 78
3 68
4 90
3 64
2 112
4 105
5 174
5 114
4 15
4 105
4 140
4 100
3 96
5 0
5 24
5 78
2 51
4 181
5 6
4 130
4 20
1 75
3 56
3 20
5 48
3 95
5 168
5 150
4 155
4 37
4 130
6 35
3 36
4 10
4 103
4 130
4 49
3 116
4 140
4 120
5 66
5 132
4 20
5 6
2 51
4 75
5 120
4 95
5 204
2 10
4 105
3 45
2 75
3 35
5 102
4 0
5 42
4 90
3 31
4 50
4 90
3 108
3 150
5 90
4 50
5 174
3 10
5 12
4 138
4 145
5 126
4 95
4 15
5 132
2 12
2 72
4 145
4 18
4 109
3 116
3 101
4 30
5 30
5 0
4 105
3 40
5 84
3 116
4 130
4 125
5 150
4 90
4 115
2 36
3 36
2 52
4 55
4 125
3 84
2 27
3 76
4 75
3 88
3 24
2 65
5 60
5 18
5 24
7 8
4 35
3 12
3 56
2 70
3 135
4 35
5 174
5 36
2 87
4 130
4 90
3 112
3 96
4 125
5 36
5 0
5 78
4 20
3 68
5 72
4 45
4 140
3 60
5 30
3 36
6 77
3 0
4 180
3 4
5 162
5 144
3 12
2 78
4 5
4 100
5 150
5 48
4 145
4 120
4 79
3 20
5 30
2 15
4 70
5 42
4 135
2 0
5 54
3 88
4 10
5 84
2 15
3 52
5 150
4 10
4 90
5 66
4 110
4 155
4 105
5 150
2 12
3 76
5 102
3 92
3 28
2 51
4 50
4 140
3 76
3 96
4 130
5 120
4 140
4 0
4 120
4 65
3 76
4 10
3 60
4 75
4 155
3 104
5 174
5 114
2 18
5 6
3 130
4 25
5 114
4 115
3 32
4 40
4 155
4 15
3 124
4 55
4 110
4 45
2 24
4 150
3 104
4 15
4 30
3 20
3 76
3 56
6 154
3 80
5 186
5 186
3 76
2 16
4 80
3 40
4 140
6 161
3 146
3 96
3 116
3 48
3 0
4 145
5 132
4 30
3 104
5 120
5 66
4 145
4 115
4 61
2 84
3 151
4 145
2 30
5 24
5 102
3 48
2 93
3 4
5 162
3 48
3 108
4 115
5 156
4 65
3 44
5 24
4 155
4 78
3 92
5 72
4 85
2 93
5 0
5 24
3 104
2 30
3 8
2 3
3 28
4 95
4 66
3 68
3 72
5 150
3 44
3 146
3 101
4 90
2 81
5 0
3 4
5 144
5 36
4 110
4 25
6 182
4 105
5 60
4 115
4 140
3 36
2 104
5 96
3 84
5 126
5 42
4 75
5 12
2 29
3 32
3 84
4 95
2 66
5 114
4 45
6 91
5 6
6 217
3 88
4 157
4 133
3 104
3 151
4 121
4 30
3 104
2 57
5 132
4 15
4 135
3 130
4 150
5 174
3 145
3 106
4 5
3 100
3 60
3 130
2 20
4 10
4 84
4 40
4 110
4 60
4 15
3 28
4 80
3 88
4 54
4 30
4 110
5 60
3 44
5 96
2 87
4 138
4 145
5 120
3 12
4 135
5 102
3 110
3 40
3 0
3 0
4 145
5 96
4 13
5 186
3 106
5 90
4 95
5 60
5 66
4 100
4 155
3 36
4 110
4 187
3 71
4 0
3 155
4 5
3 36
5 96
4 90
3 68
3 112
1 6
4 73
5 84
4 135
5 72
4 115
4 150
5 186
2 1
3 8
0 11
3 36
4 135
4 10
5 36
5 168
3 155
3 40
3 85
4 20
4 50
4 95
3 100
4 7
2 24
4 95
2 135
4 31
5 6
4 30
3 52
4 15
4 105
3 12
3 101
6 42
3 36
5 48
2 27
4 155
4 30
3 48
2 24
0 42
3 60
4 115
5 36
1 84
2 100
3 4
3 28
5 174
3 76
5 6
4 145
4 115
5 150
3 8
3 28
3 40
3 32
5 96
5 54
3 135
5 60
5 180
3 6
4 0
4 105
3 110
5 30
3 66
4 5
3 156
2 69
3 56
4 45
4 5
3 96
5 6
5 90
4 20
5 174
4 135
5 24
3 108
4 140
5 72
4 5
5 90
2 18
5 108
4 105
5 12
4 30
4 155
4 40
3 96
4 100
5 138
4 100
3 92
5 48
3 120
4 155
4 40
3 56
3 108
5 84
4 10
4 25
3 80
4 110
3 88
5 108
3 15
3 66
4 30
4 35
6 168
4 65
3 8
4 150
2 41
4 43
5 114
4 115
4 110
5 168
3 56
4 115
4 50
2 53
3 92
3 131
5 48
2 45
2 29
3 86
3 76
5 42
3 64
5 0
5 114
3 95
3 40
4 130
4 135
2 87
4 25
3 131
3 125
4 55
3 16
5 72
3 106
5 90
4 85
3 31
5 120
3 28
1 26
3 32
4 155
4 55
4 35
3 0
4 132
4 55
4 135
4 70
5 84
5 18
3 92
5 42
5 66
2 66
4 80
6 182
3 64
5 102
4 115
4 40
2 15
3 56
4 150
5 96
3 104
3 60
5 84
4 110
4 105
4 126

caso 3:
3 4
3 146
5 132
5 204
4 95
5 132
4 85
5 6
4 150
4 145
4 36
3 38
4 102
4 114
5 144
3 68
4 132
4 145
3 76
3 35
4 5
3 125
2 87
4 42
1 57
3 104
4 120
3 44
3 115
3 75
3 92
3 174
4 20
3 80
4 25
4 6
4 50
4 157
5 186
4 135
5 48
5 126
4 24
3 66
3 115
4 84
3 111
5 54
6 77
2 95
2 63
3 30
3 72
4 40
4 65
3 31
2 112
4 135
3 98
3 108
4 60
3 84
4 35
4 105
2 87
3 115
3 104
2 3
3 81
1 32
4 78
3 20
4 55
3 112
4 115
3 4
4 187
3 5
3 156
3 112
3 0
2 101
4 80
2 33
2 44
3 168
4 66
3 24
3 8
2 72
4 13
3 71
3 126
4 90
4 90
2 12
4 6
3 115
3 108
3 68
4 150
3 186
4 30
6 105
2 52
4 90
6 77
3 52
3 91
2 28
5 150
1 20
3 151
3 110
3 96
5 54
4 90
4 187
2 80
3 20
4 168
4 45
2 60
3 106
4 54
1 100
4 145
4 43
5 162
5 12
3 60
4 130
4 60
4 73
2 20
2 110
3 131
4 175
4 42
5 42
3 100
5 18
3 130
4 135
1 24
5 150
4 75
4 180
3 101
5 180
3 130
4 24
2 69
2 127
2 85
4 66
3 50
5 36
4 168
6 210
4 12
4 48
2 28
5 114
3 20
3 135
4 125
4 163
4 80
4 66
4 20
3 54
4 40
4 0
3 120
4 30
4 115
3 100
3 11
4 60
3 115
3 26
5 18
3 76
4 50
3 66
3 145
3 80
3 46
4 109
4 54
3 30
4 156
5 108
3 182
4 132
3 141
5 120
2 42
3 5
3 0
5 54
4 169
3 50
3 26
3 92
4 72
4 155
4 156
3 80
2 100
4 49
5 156
4 60
3 140
3 106
4 103
4 162
2 81
1 96
4 73
3 32
4 84
4 79
4 130
3 40
4 36
2 22
2 53
2 116
4 95
3 70
4 0
3 90
3 131
3 135
4 95
4 66
2 52
4 79
3 5
2 105
3 124
4 49
2 66
3 36
4 108
4 85
2 87
3 40
2 9
5 84
3 60
3 90
3 100
3 2
5 84
4 30
2 39
2 20
4 30
4 102
3 92
4 60
4 35
2 45
2 70
4 0
3 51
4 40
2 77
3 64
5 180
3 10
3 40
4 115
2 76
3 56
3 104
5 168
4 150
1 58
3 150
5 150
2 62
4 125
2 75
2 109
5 126
5 60
4 169
4 103
3 91
3 20
3 72
3 11
2 97
1 42
3 12
3 100
4 91
4 60
5 54
4 43
4 135
2 4
5 138
3 64
4 151
5 186
3 145
2 28
5 42
3 21
4 48
1 120
2 10
3 36
2 10
2 95
4 60
2 68
3 28
4 156
5 162
4 35
1 42
4 187
3 31
3 26
3 56
2 105
4 50
3 8
4 5
4 144
4 150
3 35
3 116
5 132
3 68
4 145
2 0
3 105
3 10
4 35
4 120
6 70
3 36
4 91
2 28
2 5
5 18
4 75
3 131
3 16
3 25
4 35
3 125
4 45
3 26
4 162
3 130
4 163
3 36
5 60
4 45
3 50
1 20
4 135
2 130
4 5
3 96
4 45
4 155
3 146
2 57
3 86
4 60
3 170
3 16
3 20
5 84
2 72
2 62
4 70
2 50
3 20
3 136
3 136
4 103
5 150
4 125
3 68
3 71
4 125
5 54
3 88
3 115
3 155
5 162
2 132
2 18
3 70
3 4
3 146
2 80
3 56
3 80
3 56
5 42
4 36
3 108
4 140
2 39
2 69
3 95
4 58
4 90
3 40
5 186
3 25
4 120
3 125
4 30
3 16
4 132
3 36
3 101
3 28
2 48
3 116
4 80
3 32
3 61
2 72
4 175
4 5
2 10
4 60
3 56
4 103
4 67
2 25
4 114
2 13
4 20
4 40
3 126
4 156
4 80
4 115
4 60
5 112
3 124
2 125
3 140
3 1
3 4
3 120
4 60
3 56
2 40
4 155
4 140
5 18
3 96
3 45
4 60
3 60
4 130
3 84
4 75
5 36
3 115
4 135
2 21
3 72
3 56
3 65
5 30
3 105
5 186
3 138
3 16
2 27
4 10
5 114
4 155
4 139
4 139
