2
1000 2000
235 47 27
203 833 -29
273 935 -9
814 727 28
82 610 -43
283 979 -48
650 187 16
235 980 -12
500 747 -62
904 422 -15
133 657 -16
930 212 17
171 838 -48
384 652 -68
534 734 -58
761 18 -27
36 20 -40
174 255 -8
333 108 -60
293 12 -38
48 146 -29
554 428 -65
542 952 -27
816 336 25
818 871 12
782 984 -18
725 372 2
207 547 9
22 232 17
232 525 -70
216 926 28
857 480 -44
414 22 8
458 191 -3
505 9 20
287 144 -44
791 869 29
963 429 28
743 451 -40
630 35 -63
882 251 -37
280 460 -56
459 874 18
589 684 9
56 542 -29
98 181 15
125 973 -64
876 288 -35
174 31 -32
56 14 3
815 248 -46
149 881 -34
315 340 -7
503 281 -23
235 690 19
976 788 1
213 265 26
319 141 14
207 667 -2
545 75 -36
919 891 12
895 392 -7
332 707 -15
347 562 -33
46 797 9
936 125 -3
359 338 15
755 658 8
791 217 -24
859 762 3
293 681 -6
976 929 -14
891 613 -55
147 960 8
36 6 -43
967 294 -17
686 5 -27
671 760 -17
150 904 0
648 763 -37
221 57 -4
38 385 25
246 628 -62
162 127 -50
992 163 -43
971 130 -49
76 169 -43
520 840 -31
973 990 25
644 990 -11
77 212 -2
895 250 -65
291 496 -37
651 10 -9
972 2 6
651 974 -11
624 50 -42
251 922 -50
343 896 -7
338 892 -17
449 969 -5
969 216 -3
874 507 -6
760 511 -44
421 835 -41
949 486 -15
960 110 -13
788 714 10
161 409 -42
524 99 -50
877 549 -29
795 518 -13
962 745 -53
978 505 -42
5 278 -7
34 579 -69
741 540 -59
850 680 -45
530 841 -36
810 365 -36
630 243 -35
771 38 -65
481 0 -20
698 331 -63
778 336 -33
693 370 -53
94 463 -13
957 313 19
183 196 -39
169 6 26
255 637 21
890 760 11
748 241 -36
998 291 -5
458 421 -69
195 114 -47
512 560 16
721 518 -19
611 53 -23
342 574 -64
790 830 25
834 72 -63
915 820 -69
349 171 22
114 629 -4
215 824 10
390 689 23
676 410 -7
980 373 -2
479 715 -28
985 858 -46
480 692 27
88 607 -53
289 309 18
133 423 -1
399 991 24
132 381 13
425 410 -25
940 390 -51
508 869 16
650 207 -26
975 687 18
724 127 -22
293 768 -13
682 902 10
403 301 -47
597 785 -13
832 562 -3
830 502 -61
849 10 -40
287 13 -33
584 340 7
572 64 -66
520 357 3
777 391 -43
810 795 10
185 744 -4
942 929 -42
109 111 13
370 312 -25
501 599 -12
838 183 -20
215 108 -56
72 628 -46
697 758 -3
224 920 -56
756 105 -59
722 48 22
603 509 -67
986 880 -55
731 381 -4
842 571 -20
292 139 -12
159 211 -32
735 908 26
702 484 -2
817 240 4
380 315 4
872 270 13
475 256 -55
742 339 -22
608 533 -50
10 826 -11
520 337 -48
659 72 12
907 126 -52
76 295 -60
702 675 -45
376 547 -23
911 374 -15
327 468 25
827 77 10
547 439 -12
758 960 25
532 619 -51
214 878 -24
732 954 23
843 656 -1
620 384 -2
668 296 25
323 975 -7
670 802 22
551 702 -38
961 812 -26
357 345 -55
528 911 23
826 996 -70
420 839 -14
41 811 23
561 831 -29
456 507 -54
172 177 0
316 80 -46
900 42 19
444 751 -36
959 279 27
353 458 23
53 878 14
761 271 26
206 832 -43
947 641 -36
663 813 -6
886 481 26
810 382 -32
899 826 -29
685 138 3
383 491 -39
428 896 -61
313 9 10
9 216 -6
888 163 -65
275 179 -52
839 65 -18
187 227 -36
578 479 -10
719 516 28
492 251 -29
75 680 19
536 993 -19
916 354 -3
833 242 12
38 517 -57
409 708 -40
261 248 -60
495 826 19
907 545 -65
458 390 -13
851 465 -33
141 354 12
792 622 -34
11 455 8
745 494 -22
659 903 -62
989 516 -14
899 11 12
640 270 10
898 728 -48
55 580 -31
244 73 23
426 865 -54
314 228 1
92 973 -53
92 984 2
153 974 18
109 225 -19
244 218 -48
924 116 -20
698 523 12
937 119 -15
883 897 2
99 211 -70
122 655 -44
640 748 -60
412 901 -34
53 362 -56
704 606 -38
626 882 -70
629 932 -47
211 870 24
219 753 21
91 204 -68
544 326 -13
322 318 -13
732 731 -12
469 784 3
783 488 -39
667 467 -56
19 96 28
542 659 -2
888 230 3
779 674 7
881 218 -14
990 540 4
848 624 -13
958 93 -29
783 228 12
215 247 -69
881 266 -21
479 160 -62
948 48 21
873 179 -5
3 412 13
459 403 5
233 603 29
443 913 -25
84 697 -45
918 912 -45
571 793 21
320 624 -66
81 572 -18
72 798 -38
737 801 26
972 612 29
747 197 -16
498 640 -2
695 725 -5
121 995 7
498 567 -48
789 239 -24
593 320 1
798 392 -49
182 129 -48
978 453 -36
178 552 13
684 51 -46
752 98 -69
517 571 26
546 69 -55
720 859 -63
519 804 -43
890 954 2
411 136 -17
85 115 -63
371 645 -11
854 329 -8
978 82 -9
531 951 -38
728 850 -16
195 570 -5
902 89 -1
282 331 -46
54 742 -58
307 179 -43
14 902 -46
626 109 -64
288 87 -30
401 971 21
86 699 -29
840 246 -6
805 501 -17
926 783 15
2 189 9
215 496 -59
542 863 -57
219 841 -48
225 129 -8
665 531 -37
408 969 14
2 809 12
166 966 13
419 892 -52
356 895 -63
36 110 -14
247 4 1
712 575 -58
935 800 -29
597 817 -46
230 578 23
266 580 -16
548 98 -50
332 517 -57
602 226 -10
62 262 0
18 861 -44
189 573 -68
553 508 -16
46 457 -46
423 39 -68
416 305 -36
923 854 -38
43 538 -21
408 492 5
668 554 19
390 924 -68
117 113 6
419 18 -34
225 65 -24
849 488 15
51 256 -27
537 179 -21
769 575 -31
871 983 -39
198 652 16
788 42 -60
942 159 6
318 930 24
907 508 -59
953 357 29
390 761 -62
133 298 17
82 68 -8
273 291 28
605 489 -20
491 629 22
653 572 -66
929 242 16
576 501 24
639 806 -18
839 197 -5
999 682 -55
986 117 -35
901 390 -44
799 995 -54
701 838 27
645 492 -1
749 773 -6
488 701 -5
382 341 2
986 532 -49
351 531 -67
367 869 -50
802 770 -7
881 921 -12
97 622 27
294 620 -29
416 369 -4
780 857 -2
997 592 -61
669 578 -29
242 282 2
146 1 23
518 155 -54
281 36 -33
392 485 -58
341 132 -38
782 548 -17
348 680 -7
968 677 -63
577 699 15
70 941 -51
94 439 2
988 958 10
4 591 -54
293 983 -16
557 324 16
441 458 16
695 159 -4
510 127 25
917 705 24
254 127 18
226 222 9
198 210 -33
678 214 11
547 507 -54
901 417 23
739 858 -19
125 553 -8
543 415 20
990 332 -23
137 939 4
225 165 26
104 363 -12
294 394 -46
427 941 14
543 194 -69
336 285 -11
940 762 -5
702 305 10
944 295 -5
243 784 -66
318 9 -1
966 466 14
177 112 8
601 539 1
885 434 -53
586 771 -68
146 711 -54
611 765 3
843 710 -49
408 953 -65
912 623 -55
933 942 -37
318 119 -25
448 720 -34
872 606 0
841 544 23
744 42 -14
112 653 -48
786 849 14
107 257 19
212 522 -57
679 455 -63
612 125 -44
9 574 28
297 798 -14
668 639 -17
161 735 25
718 848 -21
392 634 -20
776 741 -63
817 953 -41
482 633 -33
89 597 -8
167 959 18
318 256 16
426 276 -44
79 438 -57
775 508 -9
476 252 25
26 380 18
833 197 24
515 680 9
652 121 6
266 289 -35
455 959 22
793 385 -2
771 465 -12
485 240 -52
46 716 0
594 742 -68
234 927 -70
828 442 -38
407 446 -17
936 713 24
71 520 -17
815 313 -31
836 85 -14
646 922 26
317 968 -6
239 914 -12
542 149 -33
42 329 10
926 737 8
579 673 -27
226 96 -55
479 264 -41
470 100 -4
278 98 18
326 415 -62
90 655 -47
300 197 -46
438 591 -17
370 517 20
748 448 -55
544 674 -6
859 506 -42
840 328 10
258 607 -40
246 933 -24
907 376 -69
130 676 -20
206 466 -29
259 836 -60
402 937 -60
569 481 15
833 692 -27
713 533 -47
45 791 -40
476 390 -54
322 297 22
175 779 -50
225 985 17
218 596 5
80 998 -58
390 568 23
727 753 -32
570 467 1
94 864 -56
576 340 -14
992 14 -65
136 189 14
309 766 -49
948 336 -52
423 416 -2
836 807 18
81 534 -28
19 457 -9
842 551 -45
809 127 -4
165 472 10
171 960 -48
307 269 18
781 217 7
499 993 23
919 829 -70
908 262 17
650 282 -26
563 476 25
988 285 4
106 451 28
887 974 -11
561 281 10
1 62 -20
778 913 -27
972 185 -46
324 93 16
211 95 -50
555 658 27
802 998 12
177 105 -37
727 344 -11
886 905 -29
19 258 -15
369 37 -49
64 361 -64
588 685 29
726 249 -24
147 804 -14
44 607 -16
578 136 -11
564 863 -15
523 102 -58
116 473 1
772 842 -10
693 258 -49
151 198 -12
702 924 -63
348 423 -58
4 819 1
10 398 -63
770 314 -48
577 837 -46
290 954 27
261 78 21
973 123 -69
694 274 29
804 976 6
812 676 -19
976 680 1
747 690 -49
6 812 -35
480 742 -46
705 32 8
754 645 -62
998 618 -39
851 664 -65
551 468 -37
879 632 -61
982 608 -29
905 707 14
226 65 26
213 546 -32
38 603 -48
168 357 -3
377 707 15
60 559 -21
18 462 0
951 693 -68
913 675 -59
554 581 0
238 159 -34
87 725 12
677 763 15
300 283 24
567 12 -16
805 73 -57
706 91 -43
76 394 -50
79 659 -23
42 214 -42
712 804 -30
448 891 -5
82 921 10
319 221 -7
914 140 -42
920 297 -69
485 4 -26
512 432 20
584 511 -20
331 553 -54
12 618 -50
852 66 -6
769 501 15
449 820 -12
764 86 -20
92 6 -22
845 491 -66
41 3 -34
632 939 -70
234 271 -65
50 283 -47
22 487 -28
238 256 -27
23 705 -7
733 821 -20
584 914 -62
732 111 -70
588 153 -15
524 137 25
676 723 -52
382 125 -69
705 147 -30
447 386 26
690 761 -17
106 495 4
608 431 -30
116 515 -18
116 103 -13
824 979 -24
119 656 -1
37 38 -24
590 95 23
630 543 -39
278 585 -25
631 691 22
805 299 -47
598 768 -32
502 236 -29
559 60 2
457 531 -42
78 920 -52
824 510 -56
69 492 -13
53 770 24
798 753 16
390 559 -33
765 509 -65
655 11 -28
296 570 -68
620 379 16
249 457 -64
267 281 -1
381 350 -9
390 403 14
985 553 -33
623 295 -22
560 60 -13
618 715 -2
912 363 20
266 984 -1
152 585 -44
959 852 -11
628 586 -8
141 328 -5
425 313 1
463 288 -4
411 849 9
869 819 -24
689 731 -8
80 997 -24
201 502 13
780 461 17
639 441 3
201 582 -68
519 8 -3
742 823 -14
908 234 -13
839 455 -42
486 145 -11
848 577 -62
546 130 -60
829 910 -47
316 902 -6
742 455 29
496 974 -11
915 68 12
271 977 -2
180 168 -46
908 654 -49
719 854 -20
528 752 10
190 581 -27
666 250 -25
582 344 -70
81 192 -43
292 107 25
974 731 -46
595 911 23
319 172 29
892 243 -64
42 771 -12
674 314 22
217 980 24
14 562 -32
267 996 -40
846 288 -33
493 615 -50
470 210 -38
263 881 -14
414 773 29
772 167 -47
531 193 19
223 763 -1
517 777 13
507 44 -39
337 242 -50
626 736 17
647 206 27
931 821 8
739 587 -67
438 360 -48
613 891 -55
102 466 -40
571 335 -62
307 842 -66
38 531 29
410 509 -35
397 156 -29
594 439 -56
24 178 -69
579 969 -9
301 582 -66
569 685 0
951 608 -65
759 915 29
316 954 -40
115 364 -30
2 114 -22
743 708 18
9 85 -52
510 664 17
372 318 0
828 239 -63
399 190 -55
656 302 -39
756 970 -33
738 85 -17
878 439 -3
879 182 -42
319 543 -5
937 53 -41
877 777 29
399 606 -32
606 5 11
421 13 -35
504 769 -65
893 508 -28
999 738 11
218 617 -55
498 288 -12
863 578 -59
245 455 -29
944 854 -23
235 812 -66
68 585 -53
203 442 -31
308 687 29
202 686 -33
183 257 -63
50 755 25
108 971 3
571 216 10
812 512 16
11 99 28
215 167 14
785 370 8
124 30 -5
323 232 -66
612 767 -9
519 169 -2
67 277 21
192 201 -11
773 365 2
911 377 1
510 944 -31
46 729 -9
24 853 -26
41 528 -42
745 141 -22
58 12 -53
127 431 25
870 624 -22
830 749 -57
302 660 20
225 522 -35
316 568 -6
778 944 0
974 338 -20
402 83 -27
950 142 -14
668 621 17
15 843 -7
563 673 -6
476 327 -45
119 553 29
706 869 -50
670 999 -6
192 325 -16
595 728 -32
138 30 -38
694 698 -65
34 65 -22
349 628 4
414 457 -69
491 928 -16
90 634 6
610 656 -43
427 201 -65
581 796 -37
819 934 -55
903 629 -56
960 15 -39
509 364 -58
83 130 -1
336 621 -21
143 712 13
171 322 -31
198 749 -30
255 331 -34
688 502 -47
504 758 -66
370 718 -51
301 227 -35
213 662 -4
934 999 17
583 142 29
218 313 4
510 863 -47
650 119 -64
939 159 -61
162 15 -51
366 737 -33
937 391 -53
872 956 -39
290 243 -40
978 178 -46
729 397 19
803 907 -65
627 909 6
485 200 17
846 714 -15
965 432 22
803 369 -35
220 594 22
3 884 17
434 862 -5
710 944 -8
652 747 -49
457 726 -39
85 212 -39
872 58 -24
27 24 8
272 179 -70
907 751 24
851 754 -40
38 540 -25
756 251 19
518 255 -34
892 712 -7
823 149 5
306 21 15
152 401 -61
783 673 -30
783 932 21
729 136 -24
559 526 16
604 282 19
593 153 -26
682 45 -62
145 868 -13
172 526 -39
257 679 -38
719 814 -13
359 949 -29
751 30 7
249 941 -66
935 546 -32
225 491 21
121 525 -34
730 670 -14
839 194 13
322 452 -56
206 523 10
115 882 -41
957 985 -11
286 234 -70
790 170 28
929 747 -28
572 220 -51
909 302 20
817 142 -34
252 816 -30
366 23 -7
998 138 -24
227 447 -39
838 734 -4
391 524 18
841 805 17
135 378 -63
955 639 -60
797 456 -66
833 61 -50
674 427 25
37 426 -36
635 5 11
219 196 -55
685 939 22
25 780 -21
112 268 9
771 223 -52
381 372 -43
837 205 18
758 231 -3
53 269 -25
839 256 -67
721 475 29
688 512 20
532 537 0
182 1 20
561 773 -57
580 506 -33
759 344 -27
647 454 4
666 859 25
112 699 -66
915 772 9
266 460 22
556 993 11
978 527 -35
669 88 -10
934 20 -52
572 779 -8
767 778 -2
193 445 -42
889 909 -43
193 176 29
324 442 -59
968 350 -14
502 328 13
37 349 2
49 636 22
567 208 -46
782 327 -16
450 520 -19
330 761 -10
557 954 -34
908 631 -40
720 599 10
228 101 -61
912 490 -60
684 539 -24
828 459 -64
104 241 -37
159 43 -16
10 374 -55
123 283 -48
59 192 -17
790 264 -66
222 492 -12
983 404 -22
94 440 -30
840 621 29
147 725 22
132 236 -35
286 599 -61
554 722 23
776 133 -33
981 275 -69
785 498 -25
395 481 -20
144 575 -28
784 768 -7
235 267 -29
927 399 7
662 686 6
124 592 28
869 368 14
806 701 -11
7 838 -13
404 234 21
206 730 -52
449 866 16
664 101 -17
605 28 -17
135 42 21
911 518 13
762 387 -67
98 193 -66
357 552 24
467 957 -42
58 163 -12
576 964 -46
863 629 7
768 586 -13
73 721 -70
416 985 0
351 99 -12
654 197 -67
10 554 -14
205 373 -5
633 431 -42
144 360 23
520 575 4
998 343 -10
855 769 12
107 185 -51
878 537 -52
36 543 -55
739 554 -49
347 111 -23
912 744 8
993 240 20
38 761 -5
712 759 -9
972 614 -40
306 722 -3
625 952 -14
395 988 -70
362 79 -64
884 779 -53
131 691 -57
161 36 -16
552 74 -3
869 786 -44
530 111 22
960 769 -4
280 747 -52
136 142 -12
888 505 20
194 741 -1
611 224 -58
125 385 -69
231 289 5
98 159 -56
76 689 7
20 2 -24
687 634 23
657 770 18
968 659 23
710 853 -36
231 817 -12
795 942 25
396 525 -33
72 623 26
238 699 -33
515 719 21
913 758 -45
59 768 -22
347 88 -63
492 798 -58
26 29 11
136 824 5
983 221 -70
120 645 5
768 235 4
106 102 -24
149 15 -14
475 426 6
275 125 -6
734 617 -8
398 995 -27
880 131 -50
655 115 23
308 235 -32
583 4 -45
910 462 -43
308 611 24
816 438 -49
93 713 -24
809 447 -6
324 846 -11
867 78 -27
587 85 -60
880 393 27
170 977 -17
695 887 -55
674 547 9
669 363 -1
90 456 -35
988 266 -36
504 590 -38
16 809 -60
659 397 26
121 629 19
818 152 -52
872 199 -65
387 874 -18
218 543 -54
488 985 -46
823 973 -28
957 830 -38
290 846 24
52 857 -27
548 978 2
790 796 6
8 668 6
466 408 -20
470 978 -25
838 466 -40
663 641 -15
105 951 15
490 593 13
684 645 22
627 546 0
551 336 -51
980 344 -31
256 810 29
758 281 8
803 119 26
185 134 -32
892 592 -29
78 82 -36
813 118 -39
406 97 7
328 0 -57
47 980 -12
139 236 -50
638 994 -17
116 149 -45
413 334 -11
703 227 -19
944 657 15
130 822 -15
961 580 -18
339 909 -17
52 308 -37
462 447 -48
35 86 -54
888 202 -52
213 967 -66
25 670 13
428 966 -30
914 448 -55
869 410 25
274 101 -66
327 505 -57
712 968 -58
334 355 28
303 243 -69
421 809 -50
577 834 21
961 614 -61
353 528 -12
568 750 -50
364 376 -49
420 55 -44
785 767 -24
598 454 -69
496 757 27
949 530 -64
722 107 22
165 420 -64
574 774 17
784 342 19
404 58 -5
125 831 2
704 616 21
250 566 -25
504 415 -16
1 716 -34
307 438 26
151 603 -54
257 530 20
596 314 15
685 71 25
502 548 -44
374 252 25
718 855 -57
163 359 -42
70 712 27
506 19 -35
754 522 21
71 779 -49
513 728 17
650 413 -12
846 268 -63
224 994 -59
219 712 -52
133 228 7
813 298 19
210 156 -10
398 911 12
189 334 -56
862 199 -28
849 850 -63
260 48 -43
219 272 -48
430 844 16
849 329 -4
978 494 -54
820 705 3
680 103 -34
415 644 -48
281 506 -49
523 707 -47
882 967 1
510 186 26
484 969 -30
522 818 -49
789 148 -55
705 968 2
130 1 -43
466 416 1
840 697 -41
414 572 -33
837 454 -14
661 316 -27
109 800 -58
401 323 12
22 464 -40
489 169 29
662 300 -70
641 118 -2
913 959 -5
394 725 19
231 914 -27
388 927 -58
83 36 -58
747 437 17
229 811 -19
859 301 3
810 315 3
410 956 -27
778 221 -16
195 616 9
184 199 24
980 939 -49
92 22 -60
356 769 -23
944 998 -59
347 210 -6
272 20 9
497 783 17
841 561 -61
495 109 7
227 293 6
521 273 -54
94 365 20
704 722 -10
104 18 -60
315 717 2
179 342 23
710 839 6
197 32 19
258 528 28
935 755 -26
164 628 -53
332 74 -35
522 131 -61
834 235 9
497 902 -22
369 433 20
614 495 12
642 692 -56
232 303 -28
282 590 -21
626 106 -41
596 438 -66
931 313 17
692 147 4
471 996 6
319 366 -9
862 332 -14
244 975 -70
658 559 -67
953 193 -24
354 820 -18
384 416 21
840 699 -66
427 391 -67
953 214 -70
29 885 -52
242 747 -68
598 343 -41
350 2 18
406 955 -36
52 661 -16
156 45 -48
699 237 3
555 16 -54
559 969 -40
911 350 -3
981 592 -55
383 542 -12
113 893 -58
753 651 -51
587 703 11
593 211 8
367 911 -54
840 466 -38
56 377 -68
838 640 -66
506 973 27
273 357 21
31 822 -34
496 575 17
915 515 -28
996 108 -16
475 476 -53
543 668 -35
275 77 -5
329 915 -13
734 773 -39
83 398 18
326 782 -8
463 278 19
602 193 -66
445 542 -57
851 17 -29
520 912 -61
655 187 -32
872 869 -16
730 955 9
561 390 8
101 716 -58
463 531 20
752 134 -35
909 931 7
174 134 -24
915 654 -12
676 661 28
515 534 -3
621 264 -48
852 825 -6
482 278 10
894 93 -6
584 845 28
820 754 11
597 280 -55
96 195 -1
154 224 -40
752 739 -6
571 360 10
345 564 -13
509 47 -35
742 941 -42
506 526 -44
404 698 -38
937 647 -57
252 743 -10
573 250 14
555 354 -47
72 926 -35
852 623 -70
810 133 -23
397 875 18
726 381 -4
604 137 -6
236 74 -6
501 678 -63
962 251 -61
646 158 -6
422 230 -28
557 83 -5
609 245 -20
356 642 -45
397 720 -12
963 324 -23
580 913 -49
844 414 -19
203 376 -16
813 375 -57
777 797 25
371 354 -40
236 964 5
587 672 0
164 421 -28
123 737 -51
570 317 -38
444 513 28
347 716 -43
502 881 -68
167 10 29
62 381 -65
393 970 -49
320 557 24
242 73 -3
885 196 -66
556 119 -49
788 915 16
138 262 -15
865 116 -34
967 283 -23
218 346 -42
176 91 28
97 763 -63
43 6 11
411 891 -41
515 799 -70
289 587 -55
575 77 -40
930 943 -24
167 262 -40
766 833 -42
746 9 1
697 106 -36
204 502 -30
137 913 13
267 428 12
219 69 -49
735 645 29
865 927 24
463 446 -62
345 212 -29
573 959 -20
596 656 -61
31 212 -59
823 350 6
507 969 -14
341 188 -44
763 275 1
614 492 28
408 956 -25
168 301 -61
410 227 -50
12 823 6
73 854 -29
636 678 21
112 537 -58
369 878 -70
695 993 6
18 607 -2
268 367 6
965 536 8
875 298 -65
95 662 10
324 736 -35
765 724 -5
908 837 -16
20 558 14
672 605 8
600 623 15
21 243 -65
397 209 23
75 436 21
332 883 -17
413 559 -29
700 324 -4
17 584 -15
871 604 -57
307 629 -52
385 229 23
423 250 -34
180 0 27
473 427 -37
64 760 -1
669 525 -42
363 577 -17
429 594 19
36 817 24
201 124 -47
619 862 -66
364 285 -15
0 465 -15
198 938 12
183 354 24
52 23 -51
481 738 26
586 167 -28
275 555 -59
921 756 -34
844 727 -20
701 91 17
456 444 -66
563 994 24
97 177 -22
392 230 -47
563 63 -8
312 649 11
6 924 19
518 846 -25
506 42 -45
356 95 -2
843 551 -6
147 466 -12
741 564 -34
41 308 -52
716 223 -37
778 535 12
712 894 -12
201 412 -14
798 918 -19
123 626 -24
244 469 -20
808 968 -54
367 61 -38
455 454 22
125 170 -54
858 301 -67
592 13 27
709 459 -6
979 710 -30
605 408 14
426 658 22
394 727 -11
807 711 -4
261 4 21
432 872 -69
733 627 23
746 925 26
664 986 -15
28 966 -53
868 923 -45
952 350 -34
197 744 -55
456 904 -44
875 165 12
66 597 -16
820 330 12
813 428 -11
409 444 -25
816 473 -7
933 341 17
811 646 19
699 843 15
314 651 19
992 878 -15
675 297 -18
581 117 -35
115 930 -55
574 692 -10
372 860 15
487 146 8
526 957 -46
915 656 -51
401 322 -47
790 314 -69
345 341 -20
850 923 -3
37 390 -20
652 965 -28
64 689 -16
949 528 -70
528 55 -13
104 322 -5
876 723 -31
651 866 -16
304 563 25
255 413 0
322 450 -9
672 455 8
66 871 -51
321 173 -23
721 701 -16
431 157 7
148 385 -18
188 36 0
894 341 -36
941 948 29
264 270 -68
625 295 -61
655 713 10
374 386 -17
973 460 -64
980 243 -54
309 391 -69
361 931 -32
984 177 -39
818 471 9
769 735 -69
171 712 -22
380 367 -56
461 741 -70
60 373 -24
655 189 -15
47 742 -1
330 980 -17
860 263 -47
331 494 22
66 996 -6
778 496 -26
145 710 -13
238 663 -46
304 723 -21
703 731 -32
58 778 10
127 460 -57
180 320 -42
755 651 -47
748 69 1
912 847 -3
808 344 -40
166 934 23
590 239 -2
739 942 29
429 352 -41
861 832 -28
626 12 -8
655 120 -4
530 868 -35
401 780 -35
120 588 9
550 106 -56
995 696 -65
164 787 29
415 568 -67
445 430 -35
287 56 -70
801 63 -50
967 593 18
555 346 -50
990 467 -62
121 369 -55
187 717 -7
844 233 -67
443 648 1
99 445 -69
234 84 -60
734 886 -45
354 205 -51
842 112 -53
814 454 -34
375 576 -12
690 115 5
405 960 -62
908 755 -62
332 854 -16
833 89 20
95 175 6
773 530 -36
44 724 -24
661 539 -69
98 914 -41
256 956 26
483 713 -14
943 974 -6
51 306 0
957 491 -11
948 939 17
824 712 -53
610 756 23
509 417 14
862 867 -20
143 475 -64
539 958 2
248 901 -24
712 953 -18
382 910 25
494 210 -36
781 387 -24
950 997 -68
195 506 2
980 720 -31
30 863 -3
389 403 -45
813 651 9
859 715 -38
563 449 24
758 295 -65
245 76 22
443 378 -29
46 574 -70
770 906 -50
361 288 14
428 677 17
454 842 20
85 701 -13
317 616 -64
163 727 -68
220 972 -40
664 415 -61
458 813 -35
758 935 23
778 297 11
14 77 -59
301 883 -17
943 968 -63
300 637 -47
459 153 -68
561 373 -44
91 390 24
352 848 -63
539 606 25
632 736 -26
366 751 -49
777 404 -13
382 348 -45
689 0 -7
613 459 -54
967 372 -29
294 464 -39
388 168 9
647 60 -33
1000 2000
383 886 7
915 793 -35
386 492 -21
421 362 -43
690 59 -7
926 540 -44
172 736 -59
368 567 -41
782 530 -8
123 67 -35
929 802 -48
58 69 -3
393 456 -59
42 229 3
421 919 14
537 198 -46
315 370 -57
526 91 10
956 873 -8
170 996 11
305 925 14
327 336 -65
846 729 -57
857 124 25
582 545 -56
367 434 -6
43 750 17
808 276 8
788 584 -67
651 754 29
932 60 6
368 739 -58
226 586 24
539 795 0
434 378 -3
601 97 -68
317 492 -18
756 301 10
286 441 -5
689 444 -51
440 729 -39
117 97 1
481 675 -61
927 567 -14
497 353 16
965 306 13
219 624 -42
871 732 -41
503 19 0
368 708 -55
340 149 26
723 618 -25
846 451 -49
555 379 18
764 228 -29
350 193 -70
34 764 -46
914 987 -14
743 491 -43
365 859 -34
432 551 -33
228 275 -63
474 121 -12
395 29 -33
235 793 -52
428 143 -59
928 529 6
404 443 -7
613 538 -64
840 904 -52
128 688 -1
996 324 -27
470 183 20
499 772 -45
644 590 -65
139 954 16
669 82 -28
464 197 -63
355 804 -22
611 622 -42
299 343 -24
568 340 -48
311 810 -65
801 661 -40
878 305 -50
