id,name,level,time,evaluation
153,Pesquisa de intenção de voto,2,0.001943,CORRECT
154,Auto-estrada,2,0.036814,CORRECT
155,Pão a metro,4,0.003398,CORRECT
156,Repositório,5,0.00354,CORRECT
157,Sacoleiro,9,0.00203,WRONG_ANSWER
159,Sociedade Brasileira das Cores,5,0.00357,CORRECT
160,Gincana,4,0.00412,CORRECT
161,Palíndromo,3,0.001746,CORRECT
162,Hotel da Senhora Ambrosina,4,0.001377,CORRECT
163,Pastas da Floripes,4,0.001922,WRONG_ANSWER
164,Barra de chocolate,3,0.00177,CORRECT
165,Quadrado Mágico,3,0.005143,CORRECT
166,Algarismo da casa das unidades,2,0.002125,CORRECT
167,Eleições em Ambrolândia,3,0.002423,CORRECT
168,Pastelaria da Ambrosina,4,0.001549,CORRECT
169,Tamanho de uma frase,1,0.001641,CORRECT
170,Produto dos primos,4,0.001922,CORRECT
171,Reduzindo Mapas,8,0.070122,CORRECT
172,Simulador,10,0.224561,CORRECT
173,Cadeiras do auditório,8,-1.0,COMPILATION_ERROR
174,Conta de Água,2,0.001891,WRONG_ANSWER
175,Pedágio,4,0.001727,CORRECT
176,Times,5,0.008948,CORRECT
178,Cometa,3,0.002181,WRONG_ANSWER
179,Batalha Naval,7,0.158601,WRONG_ANSWER
180,Elevador,3,0.002038,CORRECT
181,Reunião,8,0.00339,CORRECT
182,Pneu,1,0.001942,CORRECT
183,Garçom,3,0.002281,CORRECT
184,Sedex,2,0.001721,CORRECT
185,Marciano,3,0.00178,CORRECT
186,Fusão,5,0.053377,CORRECT
187,Lista de chamada,5,0.001879,CORRECT
188,Dança Indígena,7,0.002189,WRONG_ANSWER
189,Floresta,7,0.002006,WRONG_ANSWER
190,Altas aventuras,9,-1.0,COMPILATION_ERROR
191,Tradutor alienígena,6,0.001994,RUNTIME_ERROR
192,Matrizes do Tutu,8,0.00196,WRONG_ANSWER
193,Telescópio,5,0.002706,CORRECT
194,O mar não está pra peixe,6,0.002175,WRONG_ANSWER
195,Caça ao tesouro,7,-1.0,COMPILATION_ERROR
197,Matriz caracol,7,0.001698,WRONG_ANSWER
198,Escada,3,0.002104,CORRECT
199,Tacógrafo,3,0.00237,CORRECT
200,Dentista,4,0.005668,CORRECT
201,Corrida,4,0.00481,CORRECT
202,Progressões Aritméticas,4,0.032444,WRONG_ANSWER
203,Pulo do Sapo,4,0.001863,CORRECT
204,Triângulos,3,0.001711,CORRECT
205,Desafio Cartográfico,7,-1.0,COMPILATION_ERROR
206,Transporte de Contêineres,2,0.00175,WRONG_ANSWER
207,A corrida da escola,3,0.002266,CORRECT
208,Selos,3,0.001938,WRONG_ANSWER
209,Expressões,7,0.002245,CORRECT
210,Escalonamento Ótimo,8,0.038852,CORRECT
211,Chuva,4,0.00738,WRONG_ANSWER
212,Carnaval,3,0.002015,CORRECT
213,Costa,5,0.016138,CORRECT
214,Guerra por Território,5,0.014558,CORRECT
215,Vice-Campeão,2,0.001506,CORRECT
216,Pista de Atletismo,2,0.001899,CORRECT
217,Consecutivos,3,0.004983,CORRECT
218,Colchão,3,0.00193,CORRECT
219,Tabuleiro Esburacado,5,0.00323,WRONG_ANSWER
220,Frequência na aula,6,0.039804,CORRECT
221,Tarzan,7,0.002178,CORRECT
222,Campeonato,2,0.001942,CORRECT
223,Busca na internet,2,0.001962,CORRECT
224,Desafio do maior número,2,0.001941,CORRECT
225,Balé,4,0.00162,WRONG_ANSWER
226,Soma dos Múltiplos,2,0.001556,CORRECT
227,Paciência em linha,7,0.001918,RUNTIME_ERROR
228,Movendo Blocos,5,0.001962,RUNTIME_ERROR
229,Jogo da Vida,5,0.041225,PRESENTATION_ERROR
230,Os Colonos de Catam,7,-1.0,RUNTIME_ERROR
231,Somando Árvores,7,0.00215,WRONG_ANSWER
232,Rotação,7,0.001516,WRONG_ANSWER
233,Pontos de feno,9,0.004268,CORRECT
234,Resto entre números,3,0.001823,CORRECT
235,Arrays de pares e ímpares,4,0.001789,CORRECT
236,Contagem de dígitos,6,0.003692,CORRECT
237,Completando palavras no telefone,8,0.051182,WRONG_ANSWER
238,Caminho no tabuleiro,9,0.00159,WRONG_ANSWER
239,Camisetas,5,0.001999,CORRECT
240,Bolhas e Baldes,6,0.001372,TIME_LIMIT_EXCEEDED
241,Onde está o Mármore?,5,0.044956,CORRECT
242,Hash Tables,7,0.002005,WRONG_ANSWER
244,Contar um caracter na string,3,0.001995,CORRECT
245,Posição do caracter na string,4,0.002021,CORRECT
246,Substituição de caracteres em uma string,4,0.00145,CORRECT
247,Inverter uma string,3,0.001671,CORRECT
248,Última palavra de uma frase,4,0.001599,CORRECT
249,Concatenar palavras,3,0.001494,CORRECT
250,Índices de um caracter na string,5,0.005023,CORRECT
251,Remover caracteres de uma string,5,0.00165,CORRECT
252,Contar uma substring na string,6,0.003503,CORRECT
253,As duas strings são iguais?,1,0.001829,CORRECT
254,O dobro dos elementos,1,0.001454,CORRECT
255,"O dobro dos elementos, só que invertido!",3,0.001473,CORRECT
256,Intercalar um array,3,0.00171,CORRECT
257,Quantos dígitos existem na string?,1,0.003448,CORRECT
259,Ponteiros do relógio,4,0.002111,WRONG_ANSWER
260,É um número primo?,4,0.03152,CORRECT
261,Conteúdo de Duas Listas Encadeadas,2,0.001697,CORRECT
262,Q3 - Quantos números são maiores ou menores que uma variação da média?,4,0.003568,CORRECT
263,Interseção entre listas,3,0.001581,CORRECT
264,Inverter uma Lista Encadeada em uma só passada,5,0.002105,CORRECT
265,Frequência de um texto em uma Lista Encadeada,5,0.00148,WRONG_ANSWER
266,Ordenar Lista Encadeada em ordem crescente,3,0.001371,CORRECT
268,Ambrosio's Bus Company,3,0.001418,TIME_LIMIT_EXCEEDED
269,Meses do Ano por extenso,1,0.010434,CORRECT
270,Extremamente Básico,2,0.001622,CORRECT
271,Área do Círculo,2,0.002123,CORRECT
272,Produto Simples,4,0.001498,CORRECT
273,Média 1,2,0.001915,CORRECT
274,Média 2,2,0.001871,CORRECT
275,Passadas do Relógio,3,0.002356,WRONG_ANSWER
276,Padrões de soma.,7,0.001967,WRONG_ANSWER
277,Subconjuntos de Soma Única,4,-1.0,COMPILATION_ERROR
278,Diferença,2,0.001847,CORRECT
279,Salário,2,0.00163,CORRECT
280,Salário com Bônus,4,0.001647,CORRECT
281,Permutador de Trem,4,0.001737,WRONG_ANSWER
282,Joana e os numeros impares,4,0.001938,WRONG_ANSWER
283,Saltando Primos,4,0.001578,CORRECT
284,Produto dos Digitos,6,0.00199,CORRECT
285,"Pares, Ímpares, Positivos e Negativos.",1,0.001805,CORRECT
286,Zerinho ou Um,3,0.001809,WRONG_ANSWER
287,Garagem,5,0.001667,WRONG_ANSWER
288,Apresentação do Trabalho,6,0.001916,CORRECT
289,Brinquedos do Parque,6,0.001756,CORRECT
290,Cálculo Simples,4,0.002242,CORRECT
291,Esfera,4,0.00197,CORRECT
292,Área,4,0.002067,CORRECT
293,O Maior,5,0.001623,CORRECT
294,Consumo,4,0.001651,CORRECT
295,Distância entre dois pontos,3,0.00196,CORRECT
296,Decisão dos Ministros,6,-1.0,COMPILATION_ERROR
297,Anos Bissextos,3,0.001456,CORRECT
298,Estoque de Celular,3,0.001951,WRONG_ANSWER
299,Penaltis,4,0.001531,CORRECT
300,Festival de Baloes,4,0.00162,WRONG_ANSWER
301,Distribuicao de Mercadorias,5,0.001991,CORRECT
302,Distância,4,0.001871,CORRECT
303,Gasto de Combustível,3,0.001827,CORRECT
304,Cédulas,4,0.001727,WRONG_ANSWER
305,Conversão de tempo,2,0.001783,CORRECT
306,Idade em Dias,2,0.001948,CORRECT
307,Notas e Moedas,4,-1.0,COMPILATION_ERROR
309,Estiagem,7,0.002192,PRESENTATION_ERROR
310,Criptografia,7,0.00331,WRONG_ANSWER
311,Teste de Seleção 1,3,0.00183,CORRECT
312,Intervalo,4,0.001973,CORRECT
313,Linha da Matriz,4,0.002149,CORRECT
314,Suprimento de Comida,2,0.001995,CORRECT
315,Nomes que produzem cores,7,0.001674,WRONG_ANSWER
316,Array Hash,4,0.006957,CORRECT
317,Teclado Quebrado,7,0.001941,WRONG_ANSWER
318,Og,2,0.00202,CORRECT
319,Foco nas Fotografias,6,0.001712,CORRECT
320,Futebol,5,0.005845,WRONG_ANSWER
321,Frutas,4,-1.0,COMPILATION_ERROR
322,Menor Valor e Posição,2,0.001505,CORRECT
323,Matriz Quadrada I,6,0.002027,CORRECT
324,Idades,2,0.00174,CORRECT
325,Quadrado e Cubo,4,0.001783,CORRECT
326,Sequencia Lógica II,2,0.002083,CORRECT
327,Sequencia Lógica I,3,0.001953,WRONG_ANSWER
328,Quadrante,1,0.001987,CORRECT
330,Sistema de matrícula,6,0.002037,WRONG_ANSWER
331,Banco de Dados,3,0.002341,CORRECT
332,Tudo em Maiusculo,4,0.00181,CORRECT
333,Letra Maiuscula,6,0.001545,WRONG_ANSWER
334,Excedendo,2,0.001662,CORRECT
337,Lua Cheia,4,0.001409,WRONG_ANSWER
338,Imprima o número real formatado,2,0.001471,WRONG_ANSWER
339,Números no meio da frase,1,0.001789,CORRECT
340,Copiando,4,0.001976,WRONG_ANSWER
341,Preço dos Jogos,6,0.002062,WRONG_ANSWER
342,Divisível por 3,6,0.002289,CORRECT
343,Romano dividido por 5,6,0.00198,CORRECT
344,Conversão real - fração,6,-1.0,COMPILATION_ERROR
345,Calculadora Diferente,4,0.00173,CORRECT
346,Coleta Seletiva,5,0.002018,WRONG_ANSWER
347,Números triangulares,4,0.002054,CORRECT
348,Converta um número Romano para Arábico,6,0.004405,CORRECT
349,Quantidade de dias de um mês/ano,3,0.00211,CORRECT
350,Imprensadinho,6,0.001926,WRONG_ANSWER
351,Somas sucessivas como multiplicação,3,0.001469,CORRECT
352,Calcular MDC de forma recursiva,5,0.001589,CORRECT
353,Índice de Massa Corpórea,2,0.001814,CORRECT
354,Sequência de inteiros pares (crescente) recursivo,4,0.001362,CORRECT
355,Sequência de inteiros pares (decrescente) recursivo,3,0.002049,CORRECT
356,Transformar Decimal para Binário (recursivo),4,0.001743,CORRECT
357,Entrada e prestações,2,0.001962,WRONG_ANSWER
358,Prestação para amortização de financiamento,2,0.001571,WRONG_ANSWER
359,Receita de Bolo,3,0.001738,CORRECT
360,Vestibular,6,0.001604,CORRECT
361,Números de Envelopes,3,0.001959,CORRECT
362,Copa do Mundo,5,-1.0,COMPILATION_ERROR
363,Overflow,3,0.001666,RUNTIME_ERROR
364,Tira-teima,3,0.002466,CORRECT
365,Tomadas,3,0.004261,CORRECT
366,Saldo do Vovô,5,0.001872,WRONG_ANSWER
368,Aumento dos Trabalhadores,2,0.001947,CORRECT
369,Biblioteca Rio Tinto,2,0.001489,CORRECT
370,Férias na Europa,3,0.001606,CORRECT
371,Torneio de Futsal,3,0.001512,CORRECT
372,Pagamento Hora Extra,1,0.001516,WRONG_ANSWER
373,Capital,3,0.001528,WRONG_ANSWER
374,Bônus de Viagem,1,0.001554,CORRECT
375,Método de Leverrier,5,0.001919,WRONG_ANSWER
376,Conceito MEC,1,0.00197,CORRECT
377,Líder do Grupo da Copa,1,0.001863,CORRECT
378,Classificação no Mundial,2,0.001402,CORRECT
379,Treino de Ciclismo,2,0.001935,CORRECT
380,Escolhendo o passeio,2,0.001848,WRONG_ANSWER
381,Livros na Mochila,2,0.001708,CORRECT
382,Monitorando A Glicose,2,0.001858,CORRECT
383,Média de 3 inteiros,3,0.001655,CORRECT
384,Reformando a sala,1,0.001401,TIME_LIMIT_EXCEEDED
385,Analisando o CRE,1,0.001428,WRONG_ANSWER
386,Economia Diária,3,0.001455,CORRECT
387,Cartas,3,0.003012,CORRECT
388,Matriz escada,5,0.034757,WRONG_ANSWER
389,Melhorando o Desempenho,3,0.00154,CORRECT
390,Método de Euler,5,0.003965,WRONG_ANSWER
391,Método das Potências,6,0.001683,WRONG_ANSWER
392,Pacote de Telefonia,3,0.002026,WRONG_ANSWER
393,Comprando Pregos,4,0.001586,WRONG_ANSWER
394,Soma de Divisores,2,0.001869,CORRECT
395,Promoção de Cinema,1,0.001436,CORRECT
396,Abaixo a poluição,1,0.001527,CORRECT
397,Festa de Formatura,2,0.001886,WRONG_ANSWER
398,Conta Múltiplos,1,0.001738,CORRECT
399,Hospedagem na Praia,1,0.002537,WRONG_ANSWER
400,Limite de Velocidade,2,0.002035,CORRECT
401,Soma dos Dígitos,3,0.002218,CORRECT
402,Estações do Ano,1,0.001804,CORRECT
404,Escola de Música,1,0.001813,CORRECT
405,Contando os Dígitos Pares,3,0.001952,CORRECT
406,Somando Positivos no Intervalo,2,0.001622,CORRECT
407,3n +1,4,0.014823,CORRECT
408,Display de LCD,7,0.002208,WRONG_ANSWER
409,Série de Miguelito,2,0.001988,WRONG_ANSWER
410,A melhor compra de ações,8,0.021417,CORRECT
411,Anagramas a partir de pilhas,7,0.001559,TIME_LIMIT_EXCEEDED
412,Feed de notícias,6,0.00227,CORRECT
413,Jogando Cartas Fora,7,0.002158,PRESENTATION_ERROR
414,Fila do Recreio,5,-1.0,COMPILATION_ERROR
415,Balanceamento de Parênteses,6,-1.0,COMPILATION_ERROR
416,Conversor de bases genérico (nem tão genérico assim),6,0.001956,CORRECT
417,Quantos zeros tem no final de um número fatorial,5,0.002731,CORRECT
418,Todas as permutações,7,0.004425,CORRECT
419,Todos os subconjuntos,7,0.063838,WRONG_ANSWER
420,Crypt Kicker II,8,0.00202,WRONG_ANSWER
421,Divisão,8,0.065647,WRONG_ANSWER
422,8 rainhas,8,0.003183,WRONG_ANSWER
423,Jogo do Bicho,7,0.004767,WRONG_ANSWER
424,Handebol,4,0.003912,CORRECT
425,Cai fora,6,-1.0,RUNTIME_ERROR
426,Palavras 2,9,0.001934,WRONG_ANSWER
427,Países em Guerra,9,0.194398,WRONG_ANSWER
428,Formatando endereço,3,0.001813,CORRECT
429,Soma Dois Números,1,0.001835,CORRECT
430,CD,8,-1.0,COMPILATION_ERROR
431,Palavras,3,0.021022,WRONG_ANSWER
433,Pagamento IPVA,1,0.00179,CORRECT
434,Futura Formanda,1,0.001871,WRONG_ANSWER
435,Analisando processos,1,0.002049,CORRECT
436,Presentes na Empresa,2,0.001974,CORRECT
437,Distância de Hamming,8,0.008855,CORRECT
439,Vendendo Jogos Educativos,2,0.001472,CORRECT
440,Os suspeitos,7,0.062471,WRONG_ANSWER
441,Guerra sazonal,7,0.001517,WRONG_ANSWER
442,Comprando laranjas,1,0.002013,CORRECT
443,Lanche para os escoteiros,5,0.001637,CORRECT
444,Comprando medicamentos,5,0.003551,CORRECT
445,Alugando um veículo,1,0.001866,CORRECT
446,Escovas de dente,3,0.002085,CORRECT
447,Capacidade Estacionamento,3,0.001529,CORRECT
448,Quantos caminhos simples existem?,3,-1.0,RUNTIME_ERROR
449,Almoço na Cantina,1,0.002005,CORRECT
450,Roupa alugada,1,0.001464,CORRECT
451,Garantia Estendida,1,0.001986,CORRECT
452,Editora Fronteira,1,0.001552,WRONG_ANSWER
453,Sorveteria Tropical,1,0.001747,WRONG_ANSWER
454,Restaurante do Vladimir,1,0.002016,WRONG_ANSWER
455,Excesso de bagagem,1,0.001602,WRONG_ANSWER
456,Viagem de Amigos,3,0.001871,WRONG_ANSWER
457,Easy Jet,1,0.001445,CORRECT
458,TV por assinatura,2,0.002335,WRONG_ANSWER
459,Idade Canina,1,0.001691,WRONG_ANSWER
462,Rede de telecomunicações,8,0.028822,WRONG_ANSWER
463,Vacinação,1,0.001962,CORRECT
464,Natal Solidário,5,0.001946,WRONG_ANSWER
465,Vaquinha para Valquíria,2,0.002887,CORRECT
466,Vai pra onde?,1,-1.0,COMPILATION_ERROR
467,Elevador seguro,2,0.001983,CORRECT
468,Descontos Black Friday,1,0.001524,CORRECT
469,Jogando dados,1,0.00206,WRONG_ANSWER
470,Maior Primo,1,0.001966,CORRECT
471,"Pedra, Papel e Tesoura",1,0.001979,WRONG_ANSWER
472,Fraldas no Atacado,3,0.001998,WRONG_ANSWER
473,Aprovados no Concurso,1,0.002046,CORRECT
474,Rotas de Entrega,8,3.055626,WRONG_ANSWER
475,Seleção de nomes,7,0.001458,CORRECT
476,Banco dos Inimigos,5,0.001503,WRONG_ANSWER
477,Escolhendo a Vocação,5,0.001483,CORRECT
478,Regeneração de Vida,7,0.002174,WRONG_ANSWER
479,Colisão no Mapa,6,0.001535,WRONG_ANSWER
480,Faturamento do Salão,1,0.001783,CORRECT
481,Divisores de X,1,0.001996,CORRECT
482,Entregando correspondências,1,0.001923,CORRECT
483,Plebiscito,1,0.001961,CORRECT
484,Animais no Zoológico,1,-1.0,WRONG_ANSWER
485,Medindo as crianças,1,0.001491,TIME_LIMIT_EXCEEDED
486,Segundo Maior,1,0.002081,CORRECT
487,Revistas em ordem,1,0.00173,WRONG_ANSWER
488,Organizando a confraternização,1,0.00148,CORRECT
489,Dividindo as despesas,1,0.001807,CORRECT
490,Árvore de Natal,1,0.002207,WRONG_ANSWER
491,Playlist de Verão,1,0.001791,CORRECT
492,Cápsulas de Café,1,0.00226,WRONG_ANSWER
493,Clima Frio,1,0.001676,CORRECT
494,Troca de presentes,1,0.001818,CORRECT
495,Grampos,1,0.00199,CORRECT
496,Classificação de Hotéis,1,0.00188,WRONG_ANSWER
497,Medindo a audiência,1,0.001587,WRONG_ANSWER
498,Leitor Voraz,1,0.002023,CORRECT
499,Somando Múltiplos e Divisores,1,0.002056,CORRECT
500,Números Primos No Intervalo,1,0.001554,CORRECT
501,Plano de Saúde,1,0.002152,CORRECT
502,Agência de Publicidade,1,0.001456,WRONG_ANSWER
503,Lava-Jato,1,0.001957,WRONG_ANSWER
504,Soma de Fatoriais,1,0.001584,CORRECT
505,Rotacionar um array,6,0.08536,CORRECT
506,Passeios turísticos,1,0.002695,CORRECT
508,Corrigindo Provas,1,0.002131,CORRECT
509,Comparador de Números Inteiros,1,0.001453,CORRECT
510,Ingresso no Cinema,1,0.001532,CORRECT
511,Critério do Seguro,1,0.002064,CORRECT
512,Decompondo cubos,6,0.001738,WRONG_ANSWER
513,Quem sou eu?,4,0.013091,CORRECT
514,Trosegrem,7,0.032116,WRONG_ANSWER
515,Índice remissivo,6,-1.0,RUNTIME_ERROR
516,BST,7,-1.0,COMPILATION_ERROR
517,aMAZEing!,7,0.001752,WRONG_ANSWER
518,aMAZEing! - Pt.2,7,-1.0,COMPILATION_ERROR
519,Diversão dinâmica,6,2.62473,WRONG_ANSWER
520,BoB,6,0.040536,CORRECT
521,MaxMin,7,0.060439,CORRECT
522,A permutação,5,0.002058,CORRECT
523,Novo Teclado,4,0.003071,CORRECT
524,Quais os números que estão faltando?,1,0.001727,CORRECT
525,Onde estão meus genes?,3,-1.0,COMPILATION_ERROR
526,Some dois números grandes!!,7,0.001654,CORRECT
527,Insertion Sort,3,0.001671,WRONG_ANSWER
528,Pílula do Zé,3,0.001648,WRONG_ANSWER
529,Zé de Tindera,3,0.001777,WRONG_ANSWER
530,Piui-Piui,4,0.037618,WRONG_ANSWER
531,Selection Sort,3,0.002411,WRONG_ANSWER
532,Caça-palavras,1,0.044395,WRONG_ANSWER
533,Hashset,1,-1.0,COMPILATION_ERROR
534,CPF do Zé,6,0.001926,WRONG_ANSWER
535,Ampulheta de Caracteres,4,0.00151,WRONG_ANSWER
538,Soma máxima,4,0.006065,CORRECT
540,Onde está o pivô?,1,-1.0,TIME_LIMIT_EXCEEDED
541,Extremos e meio,1,0.002053,CORRECT
545,Exercitando BSTs,1,0.168115,WRONG_ANSWER
546,Árvore de Busca Binária,4,0.001938,WRONG_ANSWER
547,Profundidade de um nó em uma árvore binária,5,0.001594,WRONG_ANSWER
548,Pilhas com Listas,6,0.001792,PRESENTATION_ERROR
549,Soma de custo mínimo,1,0.486867,CORRECT
550,Maior elemento pseudo aleatório,3,0.001422,WRONG_ANSWER
552,Algoritmo de Euclides,1,0.002609,CORRECT
553,Soma e multiplicação de número grande,4,1.325728,CORRECT
554,Pedrinhas,1,-1.0,RUNTIME_ERROR
555,Texto justificado,8,0.001995,WRONG_ANSWER
556,Ciclos,1,0.075491,CORRECT
557,Multiplicação de Matrizes de Forma Ótima,9,-1.0,COMPILATION_ERROR
558,Distância de edição,9,-1.0,COMPILATION_ERROR
559,Grande Promoção,9,0.062436,WRONG_ANSWER
560,Reposição de equipamentos,9,-1.0,COMPILATION_ERROR
561,Vania e os livros,3,0.002012,CORRECT
562,Pizzaria,1,-1.0,COMPILATION_ERROR
563,Somas no array,1,1.642866,CORRECT
564,"Devagar, devagar, olhe o radar!!",1,0.001985,WRONG_ANSWER
565,Calcula Número de Algarismos,1,-1.0,COMPILATION_ERROR
566,Par de pontos mais perto (closest pair of points),5,-1.0,COMPILATION_ERROR
567,"Crescei, transformai-vos e multiplicai-vos",1,0.093628,WRONG_ANSWER
568,Ano Bissexto,3,0.001922,CORRECT
570,Descobrindo dígitos de um número,1,0.00143,CORRECT
571,Restaurante Universitário,1,0.001456,WRONG_ANSWER
572,Matrix,1,0.001694,WRONG_ANSWER
574,Calculadora de Imposto Totais,3,-1.0,COMPILATION_ERROR
575,Semi-aberto,1,0.328122,WRONG_ANSWER
576,Colorindo em duas cores,7,0.002999,CORRECT
577,Heapsort,7,0.002948,WRONG_ANSWER
578,Construir Heap Máxima,4,0.001913,WRONG_ANSWER
579,Quicksort,6,0.001929,WRONG_ANSWER
580,Mania de Par,6,0.001978,WRONG_ANSWER
